scenario,mechanism,rank,year,bundle_days
fixed_denominator_recomputed,Coherent,1,2000,0
fixed_denominator_recomputed,Coherent,1,2001,1
fixed_denominator_recomputed,Coherent,1,2002,0
fixed_denominator_recomputed,Coherent,1,2003,0
fixed_denominator_recomputed,Coherent,1,2004,0
fixed_denominator_recomputed,Coherent,1,2005,0
fixed_denominator_recomputed,Coherent,1,2006,10
fixed_denominator_recomputed,Coherent,1,2007,0
fixed_denominator_recomputed,Coherent,1,2008,0
fixed_denominator_recomputed,Coherent,1,2009,0
fixed_denominator_recomputed,Coherent,1,2010,8
fixed_denominator_recomputed,Coherent,1,2011,1
fixed_denominator_recomputed,Coherent,1,2012,2
fixed_denominator_recomputed,Coherent,1,2013,0
fixed_denominator_recomputed,Coherent,1,2014,0
fixed_denominator_recomputed,Coherent,1,2015,6
fixed_denominator_recomputed,Coherent,1,2016,2
fixed_denominator_recomputed,Coherent,1,2017,7
fixed_denominator_recomputed,Coherent,1,2018,14
fixed_denominator_recomputed,Coherent,1,2019,5
fixed_denominator_recomputed,Coherent,1,2020,8
fixed_denominator_recomputed,Coherent,1,2021,5
fixed_denominator_recomputed,Coherent,1,2022,11
fixed_denominator_recomputed,Coherent,1,2023,29
fixed_denominator_recomputed,Coherent,1,2024,5
fixed_denominator_recomputed,Coherent,2,2000,0
fixed_denominator_recomputed,Coherent,2,2001,0
fixed_denominator_recomputed,Coherent,2,2002,0
fixed_denominator_recomputed,Coherent,2,2003,0
fixed_denominator_recomputed,Coherent,2,2004,0
fixed_denominator_recomputed,Coherent,2,2005,1
fixed_denominator_recomputed,Coherent,2,2006,0
fixed_denominator_recomputed,Coherent,2,2007,0
fixed_denominator_recomputed,Coherent,2,2008,0
fixed_denominator_recomputed,Coherent,2,2009,4
fixed_denominator_recomputed,Coherent,2,2010,2
fixed_denominator_recomputed,Coherent,2,2011,3
fixed_denominator_recomputed,Coherent,2,2012,0
fixed_denominator_recomputed,Coherent,2,2013,0
fixed_denominator_recomputed,Coherent,2,2014,0
fixed_denominator_recomputed,Coherent,2,2015,3
fixed_denominator_recomputed,Coherent,2,2016,4
fixed_denominator_recomputed,Coherent,2,2017,0
fixed_denominator_recomputed,Coherent,2,2018,13
fixed_denominator_recomputed,Coherent,2,2019,8
fixed_denominator_recomputed,Coherent,2,2020,10
fixed_denominator_recomputed,Coherent,2,2021,2
fixed_denominator_recomputed,Coherent,2,2022,18
fixed_denominator_recomputed,Coherent,2,2023,33
fixed_denominator_recomputed,Coherent,2,2024,0
fixed_denominator_recomputed,Coherent,3,2000,0
fixed_denominator_recomputed,Coherent,3,2001,0
fixed_denominator_recomputed,Coherent,3,2002,0
fixed_denominator_recomputed,Coherent,3,2003,0
fixed_denominator_recomputed,Coherent,3,2004,0
fixed_denominator_recomputed,Coherent,3,2005,1
fixed_denominator_recomputed,Coherent,3,2006,0
fixed_denominator_recomputed,Coherent,3,2007,0
fixed_denominator_recomputed,Coherent,3,2008,0
fixed_denominator_recomputed,Coherent,3,2009,0
fixed_denominator_recomputed,Coherent,3,2010,0
fixed_denominator_recomputed,Coherent,3,2011,0
fixed_denominator_recomputed,Coherent,3,2012,0
fixed_denominator_recomputed,Coherent,3,2013,1
fixed_denominator_recomputed,Coherent,3,2014,0
fixed_denominator_recomputed,Coherent,3,2015,1
fixed_denominator_recomputed,Coherent,3,2016,3
fixed_denominator_recomputed,Coherent,3,2017,4
fixed_denominator_recomputed,Coherent,3,2018,12
fixed_denominator_recomputed,Coherent,3,2019,8
fixed_denominator_recomputed,Coherent,3,2020,1
fixed_denominator_recomputed,Coherent,3,2021,5
fixed_denominator_recomputed,Coherent,3,2022,18
fixed_denominator_recomputed,Coherent,3,2023,12
fixed_denominator_recomputed,Coherent,3,2024,0
fixed_denominator_recomputed,Dipole,1,2000,0
fixed_denominator_recomputed,Dipole,1,2001,0
fixed_denominator_recomputed,Dipole,1,2002,0
fixed_denominator_recomputed,Dipole,1,2003,0
fixed_denominator_recomputed,Dipole,1,2004,0
fixed_denominator_recomputed,Dipole,1,2005,0
fixed_denominator_recomputed,Dipole,1,2006,0
fixed_denominator_recomputed,Dipole,1,2007,0
fixed_denominator_recomputed,Dipole,1,2008,0
fixed_denominator_recomputed,Dipole,1,2009,2
fixed_denominator_recomputed,Dipole,1,2010,2
fixed_denominator_recomputed,Dipole,1,2011,0
fixed_denominator_recomputed,Dipole,1,2012,0
fixed_denominator_recomputed,Dipole,1,2013,10
fixed_denominator_recomputed,Dipole,1,2014,0
fixed_denominator_recomputed,Dipole,1,2015,0
fixed_denominator_recomputed,Dipole,1,2016,0
fixed_denominator_recomputed,Dipole,1,2017,3
fixed_denominator_recomputed,Dipole,1,2018,0
fixed_denominator_recomputed,Dipole,1,2019,8
fixed_denominator_recomputed,Dipole,1,2020,6
fixed_denominator_recomputed,Dipole,1,2021,9
fixed_denominator_recomputed,Dipole,1,2022,1
fixed_denominator_recomputed,Dipole,1,2023,5
fixed_denominator_recomputed,Dipole,1,2024,0
fixed_denominator_recomputed,Dipole,2,2000,0
fixed_denominator_recomputed,Dipole,2,2001,0
fixed_denominator_recomputed,Dipole,2,2002,0
fixed_denominator_recomputed,Dipole,2,2003,0
fixed_denominator_recomputed,Dipole,2,2004,0
fixed_denominator_recomputed,Dipole,2,2005,0
fixed_denominator_recomputed,Dipole,2,2006,0
fixed_denominator_recomputed,Dipole,2,2007,0
fixed_denominator_recomputed,Dipole,2,2008,0
fixed_denominator_recomputed,Dipole,2,2009,0
fixed_denominator_recomputed,Dipole,2,2010,0
fixed_denominator_recomputed,Dipole,2,2011,0
fixed_denominator_recomputed,Dipole,2,2012,0
fixed_denominator_recomputed,Dipole,2,2013,0
fixed_denominator_recomputed,Dipole,2,2014,0
fixed_denominator_recomputed,Dipole,2,2015,7
fixed_denominator_recomputed,Dipole,2,2016,2
fixed_denominator_recomputed,Dipole,2,2017,0
fixed_denominator_recomputed,Dipole,2,2018,1
fixed_denominator_recomputed,Dipole,2,2019,3
fixed_denominator_recomputed,Dipole,2,2020,1
fixed_denominator_recomputed,Dipole,2,2021,4
fixed_denominator_recomputed,Dipole,2,2022,8
fixed_denominator_recomputed,Dipole,2,2023,0
fixed_denominator_recomputed,Dipole,2,2024,0
fixed_denominator_recomputed,Dipole,3,2000,0
fixed_denominator_recomputed,Dipole,3,2001,0
fixed_denominator_recomputed,Dipole,3,2002,2
fixed_denominator_recomputed,Dipole,3,2003,0
fixed_denominator_recomputed,Dipole,3,2004,0
fixed_denominator_recomputed,Dipole,3,2005,0
fixed_denominator_recomputed,Dipole,3,2006,0
fixed_denominator_recomputed,Dipole,3,2007,0
fixed_denominator_recomputed,Dipole,3,2008,0
fixed_denominator_recomputed,Dipole,3,2009,0
fixed_denominator_recomputed,Dipole,3,2010,7
fixed_denominator_recomputed,Dipole,3,2011,1
fixed_denominator_recomputed,Dipole,3,2012,2
fixed_denominator_recomputed,Dipole,3,2013,3
fixed_denominator_recomputed,Dipole,3,2014,1
fixed_denominator_recomputed,Dipole,3,2015,2
fixed_denominator_recomputed,Dipole,3,2016,0
fixed_denominator_recomputed,Dipole,3,2017,1
fixed_denominator_recomputed,Dipole,3,2018,1
fixed_denominator_recomputed,Dipole,3,2019,6
fixed_denominator_recomputed,Dipole,3,2020,0
fixed_denominator_recomputed,Dipole,3,2021,1
fixed_denominator_recomputed,Dipole,3,2022,2
fixed_denominator_recomputed,Dipole,3,2023,5
fixed_denominator_recomputed,Dipole,3,2024,0
annual_urban_active_denominator,Coherent,1,2000,0
annual_urban_active_denominator,Coherent,1,2001,1
annual_urban_active_denominator,Coherent,1,2002,0
annual_urban_active_denominator,Coherent,1,2003,2
annual_urban_active_denominator,Coherent,1,2004,0
annual_urban_active_denominator,Coherent,1,2005,0
annual_urban_active_denominator,Coherent,1,2006,11
annual_urban_active_denominator,Coherent,1,2007,1
annual_urban_active_denominator,Coherent,1,2008,1
annual_urban_active_denominator,Coherent,1,2009,0
annual_urban_active_denominator,Coherent,1,2010,8
annual_urban_active_denominator,Coherent,1,2011,1
annual_urban_active_denominator,Coherent,1,2012,2
annual_urban_active_denominator,Coherent,1,2013,0
annual_urban_active_denominator,Coherent,1,2014,0
annual_urban_active_denominator,Coherent,1,2015,6
annual_urban_active_denominator,Coherent,1,2016,2
annual_urban_active_denominator,Coherent,1,2017,7
annual_urban_active_denominator,Coherent,1,2018,14
annual_urban_active_denominator,Coherent,1,2019,5
annual_urban_active_denominator,Coherent,1,2020,8
annual_urban_active_denominator,Coherent,1,2021,5
annual_urban_active_denominator,Coherent,1,2022,11
annual_urban_active_denominator,Coherent,1,2023,29
annual_urban_active_denominator,Coherent,1,2024,5
annual_urban_active_denominator,Coherent,2,2000,1
annual_urban_active_denominator,Coherent,2,2001,0
annual_urban_active_denominator,Coherent,2,2002,0
annual_urban_active_denominator,Coherent,2,2003,0
annual_urban_active_denominator,Coherent,2,2004,0
annual_urban_active_denominator,Coherent,2,2005,1
annual_urban_active_denominator,Coherent,2,2006,0
annual_urban_active_denominator,Coherent,2,2007,1
annual_urban_active_denominator,Coherent,2,2008,0
annual_urban_active_denominator,Coherent,2,2009,4
annual_urban_active_denominator,Coherent,2,2010,2
annual_urban_active_denominator,Coherent,2,2011,6
annual_urban_active_denominator,Coherent,2,2012,1
annual_urban_active_denominator,Coherent,2,2013,0
annual_urban_active_denominator,Coherent,2,2014,0
annual_urban_active_denominator,Coherent,2,2015,3
annual_urban_active_denominator,Coherent,2,2016,4
annual_urban_active_denominator,Coherent,2,2017,0
annual_urban_active_denominator,Coherent,2,2018,13
annual_urban_active_denominator,Coherent,2,2019,8
annual_urban_active_denominator,Coherent,2,2020,10
annual_urban_active_denominator,Coherent,2,2021,2
annual_urban_active_denominator,Coherent,2,2022,18
annual_urban_active_denominator,Coherent,2,2023,33
annual_urban_active_denominator,Coherent,2,2024,0
annual_urban_active_denominator,Coherent,3,2000,0
annual_urban_active_denominator,Coherent,3,2001,0
annual_urban_active_denominator,Coherent,3,2002,3
annual_urban_active_denominator,Coherent,3,2003,1
