scenario,mechanism,rank,final_nodes_a,final_nodes_b,nodes_used_a,nodes_used_b,date_count,first_date,last_date,median_active_fraction_a_on_sync_dates,median_active_fraction_b_on_sync_dates
fixed_denominator_recomputed,Coherent,1,117,139,117,139,114,2001-07-05,2024-09-27,0.8974358974358975,0.9496402877697842
fixed_denominator_recomputed,Coherent,2,115,155,115,155,101,2005-08-14,2023-08-31,0.8347826086956521,0.8516129032258064
fixed_denominator_recomputed,Coherent,3,189,136,189,136,66,2005-06-25,2023-08-20,0.8042328042328042,0.7794117647058824
fixed_denominator_recomputed,Dipole,1,686,440,686,440,46,2009-07-18,2023-08-02,0.89067055393586,0.9045454545454545
fixed_denominator_recomputed,Dipole,2,778,414,778,414,26,2015-07-02,2022-08-31,0.8740359897172236,0.9106280193236715
fixed_denominator_recomputed,Dipole,3,562,321,562,321,34,2002-07-03,2023-07-10,0.7366548042704626,0.838006230529595
annual_urban_active_denominator,Coherent,1,117,139,117,139,119,2001-07-05,2024-09-27,1.0,1.0
annual_urban_active_denominator,Coherent,2,115,155,115,155,107,2000-07-21,2023-08-31,1.0,1.0
annual_urban_active_denominator,Coherent,3,189,136,189,136,89,2002-07-13,2023-08-20,0.8835978835978836,1.0
annual_urban_active_denominator,Dipole,1,686,440,686,440,88,2001-07-03,2023-08-02,0.45335276967930027,0.9295454545454546
annual_urban_active_denominator,Dipole,2,778,414,778,414,57,2002-07-12,2022-08-31,0.705655526992288,0.9879227053140096
annual_urban_active_denominator,Dipole,3,562,321,562,321,48,2002-07-03,2023-07-10,0.5711743772241993,0.9252336448598131
annual_urban_active_denominator_min50pct_coverage,Coherent,1,117,139,117,139,119,2001-07-05,2024-09-27,1.0,1.0
annual_urban_active_denominator_min50pct_coverage,Coherent,2,115,155,115,155,106,2005-08-14,2023-08-31,1.0,1.0
annual_urban_active_denominator_min50pct_coverage,Coherent,3,189,136,189,136,81,2007-06-10,2023-08-20,0.9894179894179894,1.0
annual_urban_active_denominator_min50pct_coverage,Dipole,1,686,440,686,440,35,2015-06-02,2023-08-02,1.0,1.0
annual_urban_active_denominator_min50pct_coverage,Dipole,2,778,414,778,414,31,2014-07-20,2022-08-31,0.9922879177377892,1.0
annual_urban_active_denominator_min50pct_coverage,Dipole,3,562,321,562,321,28,2012-07-05,2023-07-10,0.9564056939501779,1.0
annual_urban_active_denominator_min80pct_coverage,Coherent,1,117,139,117,139,105,2007-08-21,2024-09-27,1.0,1.0
annual_urban_active_denominator_min80pct_coverage,Coherent,2,115,155,115,155,91,2015-07-02,2023-08-31,1.0,1.0
annual_urban_active_denominator_min80pct_coverage,Coherent,3,189,136,189,136,68,2015-07-03,2023-08-20,1.0,1.0
annual_urban_active_denominator_min80pct_coverage,Dipole,1,686,440,686,440,32,2017-07-26,2023-08-02,1.0,1.0
annual_urban_active_denominator_min80pct_coverage,Dipole,2,778,414,778,414,22,2016-08-27,2022-08-31,1.0,1.0
annual_urban_active_denominator_min80pct_coverage,Dipole,3,562,321,562,321,16,2017-08-05,2023-07-10,0.9919928825622776,1.0
active_denominator_any_coverage,Coherent,1,117,139,117,139,237,2000-09-23,2024-09-29,0.5555555555555556,0.6762589928057554
