setting,network_layer,duration_days,k_days,alpha,rank,cluster_id,edge_count,edge_share_of_long_range,total_long_range_edges,centroid_a_lon,centroid_a_lat,centroid_b_lon,centroid_b_lat,corridor_label,closest_primary_rank,closest_primary_distance_km,closest_primary_corridor,matches_primary_within_1500km,matches_primary_within_2500km
D=1,Coherent,1,3,0.005,1,0,12,0.5454545454545454,22,-118.02083587646484,33.625,3.0833332538604736,50.70833206176758,N.America-Europe,1,153.7119531163518,N.America-Europe,True,True
D=1,Coherent,1,3,0.005,2,4,6,0.2727272727272727,22,-118.125,33.875,4.791666507720947,51.08333206176758,N.America-Europe,1,212.60618214541978,N.America-Europe,True,True
D=1,Coherent,1,3,0.005,3,1,2,0.09090909090909091,22,80.125,7.375,110.375,-7.875,"(80,7)-(110,-8)",3,4929.4588920376955,Europe-E.Asia,False,False
D=1,Dipole,1,3,0.005,1,3,188,0.3884297520661157,484,113.59308624267578,31.646276473999023,-93.77659606933594,30.4494686126709,EastAsia to NorthAmerica,1,2069.3538518940513,EastAsia to NorthAmerica,False,True
D=1,Dipole,1,3,0.005,2,1,109,0.22520661157024793,484,87.43921661376953,28.20527458190918,33.5172004699707,38.462154388427734,EastAsia to Europe,2,4530.95278623626,EastAsia to EastAsia,False,False
D=1,Dipole,1,3,0.005,3,0,75,0.15495867768595042,484,37.69499969482422,50.83833312988281,-98.5683364868164,34.33833312988281,Europe to NorthAmerica,1,1902.7837566118371,EastAsia to NorthAmerica,False,True
K=1,Coherent,2,1,0.005,1,0,2177,0.3053724224996493,7129,-111.2490234375,33.674495697021484,-0.9682475924491882,45.94987487792969,N.America-Europe,1,465.27894747942526,N.America-Europe,True,True
K=1,Coherent,2,1,0.005,2,1,1931,0.2708654790293169,7129,-89.27168273925781,32.92121887207031,120.05948638916016,34.332275390625,N.America-E.Asia,2,437.4887289375927,N.America-E.Asia,True,True
K=1,Coherent,2,1,0.005,3,4,1302,0.18263431056249124,7129,25.28072166442871,44.0013427734375,114.82219696044922,31.070659637451172,Europe-E.Asia,3,729.9334536610077,Europe-E.Asia,True,True
K=1,Dipole,2,1,0.005,1,1,4212,0.2729747245625405,15430,76.68061828613281,37.735931396484375,-94.97322845458984,36.701568603515625,EastAsia to NorthAmerica,1,42.353652033948755,EastAsia to NorthAmerica,True,True
K=1,Dipole,2,1,0.005,2,4,3303,0.21406351263771872,15430,-95.2345199584961,37.61175537109375,56.020851135253906,40.12870788574219,"NorthAmerica to (56,40)",3,406.621397194814,"NorthAmerica to (51,38)",True,True
K=1,Dipole,2,1,0.005,3,0,3247,0.2104342190537913,15430,22.22024154663086,45.67250442504883,105.62931060791016,36.54969787597656,Europe to EastAsia,2,2375.022215101291,EastAsia to EastAsia,False,True
p<0.001,Coherent,2,3,0.001,1,0,679,0.6304549675023212,1077,-116.72698974609375,33.567562103271484,3.7987849712371826,50.319034576416016,N.America-Europe,1,93.70868756988448,N.America-Europe,True,True
p<0.001,Coherent,2,3,0.001,2,1,139,0.12906220984215414,1077,-91.38219451904297,28.578237533569336,119.84982299804688,33.66276931762695,N.America-E.Asia,2,139.1967355424168,N.America-E.Asia,True,True
p<0.001,Coherent,2,3,0.001,3,2,95,0.0882079851439183,1077,32.82236862182617,35.44342041015625,113.34868621826172,23.727632522583008,Europe-E.Asia,3,316.52995541022824,Europe-E.Asia,True,True
p<0.001,Dipole,2,3,0.001,1,1,1615,0.3610552202101498,4473,76.14202880859375,38.42035675048828,-97.11803436279297,37.31447219848633,EastAsia to NorthAmerica,1,126.34982275014158,EastAsia to NorthAmerica,True,True
p<0.001,Dipole,2,3,0.001,2,0,836,0.18689917281466578,4473,63.17135238647461,37.27123260498047,105.78917694091797,25.72188949584961,EastAsia to EastAsia,2,108.24235977944025,EastAsia to EastAsia,True,True
p<0.001,Dipole,2,3,0.001,3,3,773,0.17281466577241225,4473,85.2663345336914,34.063228607177734,12.517949104309082,41.809024810791016,EastAsia to Europe,1,4745.318476746603,EastAsia to NorthAmerica,False,False
Primary,Coherent,2,3,0.005,1,2,1192,0.496046608406159,2403,-115.90310668945312,33.642616271972656,2.4985318183898926,49.78418731689453,N.America-Europe,1,0.0,N.America-Europe,True,True
Primary,Coherent,2,3,0.005,2,3,439,0.1826883062838119,2403,-91.78160858154297,28.025911331176758,119.75483703613281,31.809511184692383,N.America-E.Asia,2,0.0,N.America-E.Asia,True,True
Primary,Coherent,2,3,0.005,3,1,332,0.138160632542655,2403,28.408885955810547,36.9691276550293,114.22439575195312,25.362197875976562,Europe-E.Asia,3,0.0,Europe-E.Asia,True,True
Primary,Dipole,2,3,0.005,1,2,4110,0.3592971413585104,11439,76.98759460449219,37.72919845581055,-95.53826141357422,36.953407287597656,EastAsia to NorthAmerica,1,0.0,EastAsia to NorthAmerica,True,True
Primary,Dipole,2,3,0.005,2,3,2250,0.1966955153422502,11439,64.47777557373047,36.967445373535156,105.1772232055664,26.38433265686035,EastAsia to EastAsia,2,0.0,EastAsia to EastAsia,True,True
Primary,Dipole,2,3,0.005,3,0,2047,0.17894920884692717,11439,-91.89368438720703,36.07016372680664,51.28865432739258,38.05367660522461,"NorthAmerica to (51,38)",3,2.7783397629254326e-14,"NorthAmerica to (51,38)",True,True
p<0.01,Coherent,2,3,0.01,1,0,1783,0.48398479913137893,3684,-112.22286987304688,32.749507904052734,5.927860260009766,46.77390670776367,N.America-Europe,1,388.7835405841838,N.America-Europe,True,True
p<0.01,Coherent,2,3,0.01,2,2,894,0.24267100977198697,3684,-93.3478775024414,28.665267944335938,111.51398468017578,31.684284210205078,N.America-E.Asia,2,474.9476454597559,N.America-E.Asia,True,True
p<0.01,Coherent,2,3,0.01,3,1,434,0.11780673181324647,3684,11.57603645324707,47.841590881347656,113.67857360839844,32.16244125366211,Europe-E.Asia,3,1293.247449039386,Europe-E.Asia,True,True
p<0.01,Dipole,2,3,0.01,1,0,4976,0.279849277318486,17781,96.06034088134766,34.54290771484375,-96.26251220703125,36.76582717895508,EastAsia to NorthAmerica,1,908.6565765122773,EastAsia to NorthAmerica,True,True
p<0.01,Dipole,2,3,0.01,2,3,3486,0.1960519655812384,17781,60.70345687866211,37.1611442565918,106.1168212890625,27.12277603149414,EastAsia to EastAsia,2,230.27764438091583,EastAsia to EastAsia,True,True
p<0.01,Dipole,2,3,0.01,3,4,3382,0.1902030257015916,17781,-44.483070373535156,43.475975036621094,-105.14702606201172,40.25584030151367,"(-44,43) to NorthAmerica",1,5083.8635538659,EastAsia to NorthAmerica,False,False
K=5,Coherent,2,5,0.005,1,0,472,0.5042735042735043,936,-112.1059341430664,32.626590728759766,6.669491291046143,47.88506317138672,N.America-Europe,1,371.83149359762,N.America-Europe,True,True
K=5,Coherent,2,5,0.005,2,2,173,0.18482905982905984,936,-91.69002532958984,24.045520782470703,109.81719970703125,26.42702293395996,N.America-E.Asia,2,788.3240744973587,N.America-E.Asia,True,True
K=5,Coherent,2,5,0.005,3,3,128,0.13675213675213677,936,8.07421875,48.78125,115.423828125,34.283203125,Europe-E.Asia,3,1550.6385876876325,Europe-E.Asia,False,True
K=5,Dipole,2,5,0.005,1,1,2726,0.31572851517257355,8634,103.26183319091797,33.09978103637695,-96.47908782958984,36.123714447021484,EastAsia to NorthAmerica,1,1278.626389015405,EastAsia to NorthAmerica,True,True
K=5,Dipole,2,5,0.005,2,4,1718,0.19898077368542968,8634,-23.201541900634766,44.36903381347656,-104.37442016601562,41.23966979980469,"(-23,44) to NorthAmerica",1,4399.255836513855,EastAsia to NorthAmerica,False,False
K=5,Dipole,2,5,0.005,3,2,1447,0.16759323604354875,8634,60.26494598388672,37.513736724853516,103.31262969970703,24.684951782226562,EastAsia to EastAsia,2,322.1425271707085,EastAsia to EastAsia,True,True
