locked_uid,control_uid
287,289
6228,6237
6029,6030
36472,36475
39536,39540
34388,34393
34394,34398
34008,34012
39827,39828
22783,22793
22764,22765
25538,25545
25557,25572
12402,12406
25116,25120
15423,15425
9285,9293
8850,8865
8183,8190
23483,23495
23499,23513
21264,21272
21266,21273
21676,21679
21680,21681
26445,26455
39313,39314
39722,39728
23484,23485
20263,20265
18432,18448
36457,36471
36149,36153
38748,38753
34459,34469
32527,32535
116,115
464,467
15109,15113
6213,6214
29323,29329
27509,27519
38935,38940
36740,36754
36458,36459
36465,36466
37962,37971
34572,34579
9380,9388
37009,37021
6215,6218
15110,15116
24063,24073
10196,10195
6216,6225
8585,8592
11241,11255
10837,10850
38079,38083
9670,9682
19652,19653
21678,21686
5937,5942
2090,2092
3435,3434
27532,27536
9671,9684
7616,7643
30189,30187
6217,6222
28877,28878
28886,28897
31392,31396
23158,23165
32763,32773
32767,32774
28879,28899
36460,36464
37965,37974
5241,5251
36152,36156
24808,24813
23159,23161
23172,23180
23178,23169
7226,7237
7227,7238
29299,29316
31840,31846
721,732
807,809
915,917
1599,1598
1614,1629
5071,5070
31754,31765
39538,39553
18168,18174
18172,18175
18180,18178
18185,18183
8568,8580
972,970
1089,1088
6232,6241
6233,6242
38436,38435
20689,20691
3857,3869
14890,14903
5409,5416
11346,11349
26452,26449
10223,10220
10516,10518
6791,6798
7128,7127
5849,5852
615,620
13272,13274
39831,39834
13700,13703
5242,5243
39638,39637
14110,14122
14119,14123
11348,11350
23595,23594
14261,14274
9425,9427
34224,34226
35776,35775
14237,14257
28881,28882
28885,28892
5990,5995
756,757
7228,7225
4491,4502
5476,5481
37966,37963
37967,37978
21654,21659
22360,22355
10872,10869
10879,10885
37968,37964
6521,6528
8184,8195
27275,27274
27689,27691
34577,34576
40246,40256
11691,11699
39541,39547
28028,28027
14706,14719
17360,17361
17362,17364
17363,17381
21586,21588
32187,32196
9287,9290
34356,34355
34339,34335
34342,34352
13288,13289
23023,23026
23033,23032
36266,36267
32941,32946
31843,31847
3981,3994
8230,8240
8586,8593
27944,27951
12364,12368
12374,12382
382,388
3420,3426
38507,38512
26812,26820
10031,10033
8693,8700
6366,6370
7472,7479
8852,8868
8185,8198
21055,21049
22958,22960
36634,36640
19180,19179
11665,11675
20981,20982
20983,20984
8186,8196
19181,19186
19193,19191
5697,5694
5617,5622
5618,5643
11646,11652
11195,11194
11201,11199
7210,7207
7212,7206
31844,31845
31848,31842
31849,31839
7619,7628
10199,10193
10208,10207
9389,9386
34357,34371
586,588
1362,1369
1346,1352
1247,1245
2611,2618
2619,2626
2612,2622
2448,2452
2308,2318
2348,2357
2613,2610
3091,3096
2614,2623
4142,4147
3075,3072
27399,27402
5619,5620
5624,5627
5650,5646
39159,39163
3095,3107
9028,9027
32883,32882
3143,3144
3145,3158
5244,5246
4152,4155
4163,4167
4164,4158
4286,4287
4289,4291
4306,4302
4308,4321
29362,29370
29377,29381
17758,17768
20661,20663
14640,14647
9134,9147
6694,6690
39836,39829
13885,13891
6020,6024
6023,6028
5539,5538
5545,5540
40078,40080
40090,40081
27857,27853
6902,6895
6282,6284
6176,6177
22375,22379
8855,8860
10873,10871
27196,27202
22384,22388
11242,11248
21933,21935
34581,34574
10820,10836
26988,26990
26996,26991
7981,7980
12365,12372
12135,12145
7211,7204
7230,7240
40149,40146
6903,6897
6909,6912
13887,13886
7475,7486
28527,28530
20849,20858
16690,16703
17917,17922
28314,28312
28860,28872
29588,29591
12366,12378
21587,21605
28345,28346
27858,27862
7232,7235
14114,14121
10875,10884
10822,10827
34444,34458
153,152
211,214
55,62
88,87
89,86
496,492
539,540
16835,16841
16836,16843
18962,18981
40150,40165
13732,13731
13746,13729
7476,7478
17502,17499
33715,33719
9292,9294
8858,8866
12138,12142
8823,8819
17505,17509
24336,24341
18965,18977
7759,7767
8796,8804
18966,18967
31808,31815
34395,34391
34396,34390
10786,10792
33115,33108
8827,8830
34850,34847
6283,6293
16840,16846
3953,3955
3985,3995
337,336
339,344
298,305
338,346
4144,4148
5956,5970
6696,6697
10546,10556
30298,30297
27755,27751
32041,32044
39544,39539
40002,40001
11634,11635
18968,18963
18971,18972
18978,18970
11695,11687
11698,11686
18468,18476
18469,18477
7134,7125
37220,37225
37498,37495
12256,12262
12263,12274
7233,7229
7241,7224
39575,39573
3861,3860
34174,34172
22770,22769
39867,39865
32175,32177
16842,16832
17510,17501
30196,30193
34175,34184
28884,28883
28891,28876
28936,28941
28943,28947
27117,27115
32333,32343
31081,31095
32176,32173
24642,24648
16766,16771
27118,27116
27490,27489
27491,27483
1185,1187
618,621
667,668
422,418
30075,30070
30433,30437
19155,19157
9415,9410
9428,9429
12724,12729
11814,11824
12296,12301
10561,10571
12257,12267
11925,11931
11933,11935
11847,11852
11856,11858
7213,7209
7216,7202
35506,35507
38036,38038
39641,39643
40402,40416
5477,5478
5483,5484
15494,15495
17430,17435
12743,12744
15713,15719
13525,13534
16555,16562
16559,16564
16498,16503
10305,10311
16625,16640
15322,15335
16140,16154
7985,7978
13077,13081
15323,15328
15714,15730
14048,14055
18352,18360
32470,32473
30287,30293
9903,9902
9071,9083
7577,7575
8285,8289
15324,15337
16500,16504
16507,16505
19356,19362
16518,16523
7214,7217
16627,16633
16628,16639
12837,12843
32663,32661
32669,32665
10051,10053
11849,11854
