locked_uid,control_uid
10513,10520
10517,10523
10218,10225
39636,39639
39649,39648
25454,25457
20926,20928
11293,11296
11306,11308
11307,11301
30977,30984
27188,27191
39827,39828
10869,10872
10885,10880
10889,10879
39487,39488
25116,25123
25557,25558
25562,25564
25567,25572
25539,25538
25551,25545
25552,25542
25102,25101
25112,25109
21773,21778
34847,34857
22306,22309
21751,21753
20810,20818
23868,23884
20831,20833
20847,20837
9025,9030
20179,20181
14089,14098
21677,21684
21685,21695
21693,21696
23484,23486
23485,23489
23493,23492
23504,23510
23444,23448
22266,22269
22271,22286
21724,21729
21733,21742
23053,23056
23461,23464
37278,37291
20263,20286
37989,37994
25540,25546
34010,34008
24350,24360
30604,30610
30614,30616
27455,27468
12171,12172
28855,28868
28858,28871
27419,27421
27438,27440
28309,28323
38765,38767
38740,38741
39443,39444
38778,38779
38822,38823
38831,38827
38418,38420
39431,39432
39017,39018
39117,39118
39339,39340
38968,38969
38982,38983
15399,15422
15424,15434
15437,15445
4018,4027
13951,13952
9379,9382
9387,9385
9390,9391
29245,29249
29251,29255
30255,30257
29966,29970
29972,29977
33415,33418
33426,33429
27036,27046
27044,27055
24775,24783
27353,27361
27359,27371
34572,34579
21108,21110
19974,19978
22923,22933
22517,22525
22973,22983
26447,26451
26458,26457
21469,21476
6215,6218
10938,10954
23969,23970
23954,23955
29405,29410
11294,11298
25473,25477
22518,22520
21470,21472
21481,21475
38079,38089
39274,39280
39283,39286
25456,25460
22924,22926
22031,22033
22041,22036
22531,22533
23382,23385
23395,23387
21975,21980
22974,22981
21109,21112
21118,21115
9670,9682
20648,20651
20653,20652
23082,23083
32186,32190
467,465
401,403
410,404
414,416
423,417
3417,3425
33488,33489
27532,27535
3418,3419
7851,7853
7616,7617
7625,7621
7629,7643
32528,32546
5875,5877
5845,5847
34460,34463
34474,34468
36459,36458
5152,5154
6691,6710
12763,12764
40146,40149
40153,40151
5207,5214
5221,5216
36296,36304
36317,36326
34461,34459
34469,34467
34480,34473
35996,35995
5693,5692
5698,5700
5708,5696
5714,5695
14728,14727
38252,38266
38433,38434
38446,38447
38578,38579
14215,14222
12403,12402
12406,12409
38152,38153
38166,38167
37572,37573
37576,37577
37583,37584
36460,36464
37296,37300
37299,37308
37279,37280
37283,37285
37284,37293
29967,29968
29981,29982
29771,29772
29785,29786
30654,30655
23906,23908
23910,23914
25359,25363
25372,25375
25896,25895
20336,20337
10078,10086
10102,10112
10118,10117
39829,39836
18168,18172
31547,31549
31324,31326
31562,31564
31043,31045
4338,4337
39490,39489
29230,29233
6232,6233
6235,6238
6239,6241
38436,38435
37281,37282
37297,37298
7160,7163
6969,6978
6984,6986
21471,21468
23746,23744
22532,22529
22925,22922
22519,22516
9673,9675
9676,9680
9684,9672
9685,9671
20600,20609
19636,19644
13935,13945
19975,19972
33808,33813
10766,10768
10767,10780
13936,13938
12665,12671
14068,14074
15624,15626
40217,40220
14890,14899
14910,14903
4303,4304
4316,4305
4600,4601
30256,30263
25176,25181
25194,25189
24409,24413
24426,24430
19056,19061
19071,19069
35008,35019
10405,10414
21726,21728
21744,21734
16400,16402
16404,16403
23747,23745
20601,20604
20610,20608
20690,20694
20692,20695
20699,20696
27021,27032
24777,24778
24784,24785
27040,27052
21539,21540
25930,25928
25980,25982
10516,10518
10526,10519
10223,10220
6791,6794
6798,6797
6800,6810
12638,12644
29969,29964
14091,14100
14103,14102
5253,5255
38938,38939
38919,38920
38799,38803
38080,38078
19638,19642
36319,36322
31395,31401
22506,22511
36298,36300
36306,36301
11688,11703
13755,13772
17776,17774
14293,14305
4938,4937
4792,4791
32531,32532
32534,32544
32540,32548
27854,27859
24066,24064
24068,24072
13668,13674
8819,8823
8833,8825
8834,8824
22228,22232
35443,35450
14845,14863
14827,14842
15753,15773
15426,15444
21653,21657
22209,22211
15401,15400
15409,15421
35232,35241
14806,14823
33349,33350
14262,14261
14274,14273
31618,31634
31278,31279
35903,35904
35648,35654
33809,33812
37347,37348
