locked_uid,control_uid
287,289
6029,6030
6228,6237
36472,36475
39536,39540
20926,20928
11686,11687
39827,39828
12402,12406
23418,23419
21676,21679
21680,21681
450,459
6210,6211
39722,39728
23484,23485
36457,36471
36149,36153
116,115
465,464
470,467
36458,36459
31348,31352
34572,34579
9380,9388
4333,4350
24063,24073
6216,6225
9670,9682
19652,19653
5937,5942
493,494
2090,2092
3435,3434
38251,38253
30189,30187
6217,6222
28877,28897
9672,9671
9382,9379
31392,31396
31839,31842
20336,20337
11228,11227
680,678
807,809
1599,1598
1614,1629
5071,5070
27190,27189
972,970
1089,1088
38436,38435
40217,40220
26452,26449
10516,10518
10223,10220
5695,5693
5698,5696
5700,5692
615,620
469,466
39491,39490
39831,39834
13272,13274
5253,5255
5242,5243
7977,7978
35776,35775
30979,30978
30980,30992
756,757
451,453
355,352
956,955
961,966
3377,3378
3381,3382
7229,7224
21654,21656
20930,20927
9386,9384
34577,34576
7444,7442
28028,28027
22595,22596
17360,17361
356,357
34356,34355
29939,29940
29943,29938
31843,31847
4696,4695
37742,37748
3981,3999
382,388
2136,2137
7209,7202
6366,6370
22958,22960
21055,21049
5697,5694
16834,16831
11195,11194
10199,10193
27489,27483
3297,3296
1455,1454
1460,1467
1492,1491
1247,1245
2611,2626
254,252
266,273
2613,2610
3091,3096
2614,2623
4142,4147
3379,3373
3389,3387
3380,3391
3075,3072
4742,4741
3216,3238
27399,27402
9028,9027
12175,12174
4286,4287
4306,4302
29926,29925
6694,6690
10910,10914
10917,10915
26862,26860
6020,6024
6023,6028
5539,5538
5545,5540
27857,27853
34581,34574
40513,40528
6903,6897
40149,40146
36268,36269
9962,9960
28314,28312
29588,29591
27858,27862
28345,28346
211,214
153,152
55,62
88,87
89,86
496,492
13732,13731
13746,13729
7574,7576
4052,4050
13919,13922
11734,11739
18183,18180
18185,18178
35418,35415
35420,35419
34395,34391
34396,34390
337,336
339,344
13,23
338,346
4144,4149
36649,36650
27755,27751
39544,39539
16812,16814
39575,39573
4123,4136
34174,34172
16842,16832
10911,10920
20881,20880
27118,27116
20339,20338
942,943
667,668
618,621
15,22
422,418
2251,2261
2256,2247
30075,30070
24911,24910
17430,17441
30990,30983
26923,26928
7214,7205
5214,5207
39848,39859
34926,34923
53,51
2000,2006
268,274
271,265
258,253
575,577
3029,3026
26549,26550
2205,2204
3862,3854
2124,2121
28491,28489
3877,3874
2939,2937
32201,32205
3017,3019
3046,3047
5154,5152
25787,25779
2095,2098
2101,2089
2125,2122
39099,39104
17431,17448
