locked_uid,control_uid
32021,32025
39861,39862
39966,39972
39977,39976
39536,39540
22355,22360
11686,11687
27188,27191
39827,39841
39828,39842
15507,15513
15512,15519
15517,15522
10869,10872
10885,10889
23482,23490
23497,23501
22264,22289
10219,10223
25538,25542
25539,25545
25101,25109
25102,25112
27279,27281
25116,25123
25120,25126
21773,21795
36629,36641
36632,36647
21751,21753
24349,24352
23885,23899
31347,31357
31575,31577
31581,31579
22227,22238
22265,22279
21251,21253
21264,21266
21273,21272
21277,21267
23483,23495
25455,25463
28698,28705
30388,30395
30396,30400
34335,34339
3854,3862
39313,39314
23444,23448
23450,23460
37252,37260
37261,37263
20263,20265
23886,23897
24388,24400
24397,24401
24368,24381
23514,23515
23524,23529
8708,8725
27189,27190
40267,40272
16831,16844
16834,16845
16848,16850
39783,39787
39792,39796
35277,35278
28179,28189
28159,28160
28164,28170
36149,36153
29769,29771
29965,29967
29978,29968
30811,30817
30636,30639
29801,29804
30269,30271
30276,30272
30651,30654
30659,30655
28227,28233
28232,28243
29833,29837
30016,30027
30026,30029
28246,28250
28258,28260
29998,30009
30008,30011
29535,29540
39443,39444
10193,10207
10199,10208
18540,18549
18545,18550
9379,9382
9387,9385
28228,28235
36458,36469
32485,32491
32023,32024
32496,32502
32740,32746
32751,32756
29770,29776
29983,29991
12636,12637
29245,29249
30255,30257
30389,30397
30652,30657
30637,30638
32992,32995
29849,29855
29859,29857
31588,31594
31578,31583
31042,31048
31052,31054
31338,31346
28832,28842
27394,27404
27401,27405
24441,24457
24474,24480
24458,24473
27372,27381
27380,27382
25719,25725
25726,25733
24755,24764
24760,24768
24775,24783
25199,25205
27036,27044
27018,27025
27004,27017
26752,26758
26733,26739
26743,26749
26716,26723
25702,25708
25709,25710
25713,25718
26170,26187
26153,26162
24738,24754
25735,25743
27834,27840
27844,27846
7142,7143
6032,6033
22443,22446
22449,22451
9669,9683
9424,9423
4333,4347
4334,4350
36741,36761
37009,37016
37013,37021
22765,22764
9670,9682
23082,23083
15510,15525
15516,15526
25175,25177
25179,25191
25182,25195
25624,25625
25629,25627
25635,25641
24703,24705
23531,23543
23120,23134
21678,21686
21265,21268
21276,21275
14337,14346
5921,5920
3435,3434
3417,3425
3431,3432
38481,38487
3436,3437
33473,33483
33488,33489
27510,27529
31375,31380
31386,31381
33435,33448
32760,32775
35672,35687
35213,35221
39863,39869
32528,32536
34460,34463
34796,34810
34812,34813
30190,30188
32762,32776
33437,33451
33443,33454
33524,33528
5152,5155
5154,5165
31667,31680
6691,6693
24064,24068
7204,7211
5153,5159
34797,34815
32530,32547
36103,36116
24065,24067
24074,24076
37401,37414
33807,33818
36042,36056
35674,35673
35675,35684
35680,35686
36297,36311
36318,36332
34975,34983
14728,14727
14215,14220
33439,33450
33475,33487
31668,31678
31672,31686
32764,32779
39537,39542
33526,33525
4533,4534
4546,4550
5208,5212
20928,20929
39968,39973
39538,39561
6218,6215
7125,7134
35775,35777
38768,38767
38781,38780
34647,34660
35073,35090
35088,35092
34918,34921
34933,34928
12172,12171
39830,39844
39877,39887
34297,34300
31547,31549
29567,29566
0,3
39490,39489
29247,29248
28295,28308
25657,25666
26086,26097
26091,26103
29851,29853
29864,29863
31563,31565
31548,31550
26646,26662
26702,26713
27006,27016
31325,31327
34338,34349
27302,27313
27784,27795
30836,30848
27768,27778
24476,24492
24019,24024
24023,24031
24035,24046
24443,24448
24447,24453
24460,24464
24463,24471
38436,38435
10222,10228
7370,7380
7126,7132
7130,7135
11550,11565
11155,11168
11173,11175
11133,11146
11142,11149
11151,11153
10404,10416
10413,10419
11110,11124
11118,11127
11572,11590
11597,11613
10105,10116
40217,40220
30535,30541
30539,30547
28297,28300
28304,28301
30050,30056
30058,30065
25373,25377
25379,25381
25389,25394
25397,25395
24630,24631
24632,24637
25474,25480
25915,25911
25922,25923
36614,36611
36626,36627
16855,16860
16876,16881
14979,14981
15804,15805
5924,5935
34573,34580
34584,34587
35280,35281
25541,25547
39539,39544
35105,35116
38437,38442
39638,39637
40245,40252
40249,40253
40263,40255
34012,34010
21929,21937
23487,23509
38482,38485
14845,14856
13669,13668
15401,15400
34411,34424
34798,34800
12016,12027
33333,33337
34224,34226
34919,34920
34927,34940
36064,36065
36043,36045
14262,14261
35677,35678
35903,35904
36937,36945
36943,36947
36955,36957
40218,40228
34799,34811
37083,37087
37162,37170
37168,37172
36000,36001
33809,33811
33812,33819
33815,33825
36815,36821
38254,38256
38270,38271
38275,38281
38048,38050
38339,38340
36086,36085
37678,37680
38483,38484
13629,13636
13637,13640
27785,27792
27769,27776
25586,25593
27422,27435
27441,27452
24684,24694
24686,24698
24689,24701
24742,24748
24758,24756
24766,24767
24445,24451
25645,25646
25653,25654
25705,25703
25738,25736
25722,25720
26191,26189
26173,26171
26206,26204
26212,26214
26088,26092
26090,26101
18118,18127
22447,22450
34574,34581
8711,8715
9194,9195
12535,12547
9384,9386
12969,12983
22784,22790
10407,10409
25659,25668
25662,25669
25781,25783
7742,7748
7146,7148
7162,7167
7165,7170
7129,7133
6985,6990
6988,6994
10225,10218
9675,9673
9684,9680
9685,9676
32915,32923
22766,22780
22785,22799
22359,22370
39573,39582
9477,9476
9480,9492
9498,9497
9502,9512
9506,9516
5384,5395
5476,5481
5486,5491
37966,37963
37967,37978
22210,22226
30192,30205
36744,36749
37968,37964
20930,20932
23985,23994
23957,23956
23972,23971
23533,23532
23517,23516
25161,25160
23942,23941
27752,27750
27762,27763
23908,23910
23914,23906
25599,25598
24372,24374
24392,24394
23889,23891
23895,23887
25660,25667
26106,26114
26117,26118
14949,14950
13304,13306
28743,28740
13037,13051
14920,14921
24334,24348
24373,24375
24385,24383
24393,24395
24406,24404
23909,23918
23872,23879
38504,38506
15807,15806
27689,27691
17564,17562
17565,17561
17546,17544
17547,17552
35282,35296
36615,36620
25588,25595
36633,36639
24411,24418
24424,24422
30193,30196
24428,24435
24431,24437
35742,35755
39541,39543
39969,39971
22268,22283
14847,14859
14217,14219
14789,14790
14191,14192
14198,14214
12017,12021
18943,18946
23548,23556
16857,16858
30020,30031
29496,29493
29839,29834
30002,30015
25163,25168
29541,29536
31046,31044
28674,28677
28661,28664
28670,28667
28799,28794
28268,28274
28251,28259
26962,26971
29203,29206
30815,30813
29481,29484
30330,30343
28234,28242
29233,29230
29241,29236
29218,29221
24004,24014
25180,25185
25196,25197
24429,24436
30839,30845
24412,24419
25628,25631
28299,28306
24708,24720
24687,24695
26073,26068
24759,24757
29570,29572
24743,24744
29939,29940
29947,29952
3419,3418
21256,21258
21684,21685
21270,21279
16185,16182
30536,30548
30560,30561
24952,24962
25391,25388
25375,25372
5696,5695
35778,35785
35793,35794
35958,35965
35968,35974
38700,38714
38921,38931
36745,36742
36757,36759
34555,34554
27576,27587
6986,6984
7163,7160
6899,6898
6901,6900
39740,39745
38961,38965
38785,38783
38973,38970
22855,22858
4740,4746
5697,5694
8694,8701
9597,9601
11350,11348
11351,11359
11449,11445
9197,9193
8729,8734
8743,8742
3041,3049
35779,35790
34429,34427
33334,33345
33320,33325
32449,32446
4861,4867
4449,4451
4831,4840
13918,13933
33130,33142
12406,12407
12421,12424
3381,3382
3094,3109
33542,33553
32765,32766
8187,8185
8198,8199
35233,35228
13309,13307
18987,18986
18993,18985
15808,15818
19001,18999
22639,22640
22642,22638
22788,22791
6717,6729
7473,7472
6524,6523
6735,6737
4152,4155
4163,4164
4167,4158
4493,4508
4306,4308
12449,12447
12913,12911
12046,12044
23534,23542
12097,12095
6222,6220
23085,23093
23518,23526
12974,12971
12540,12537
12944,12942
23124,23130
12073,12071
14381,14383
13860,13858
16285,16284
16968,16967
16976,16974
18121,18124
18557,18564
15003,15009
19027,19031
18108,18114
18584,18590
18618,18617
13809,13814
16269,16268
16270,16267
39706,39710
20868,20867
27194,27192
38676,38681
27619,27617
16450,16448
13438,13444
20547,20551
20060,20065
16025,16023
22448,22441
12722,12725
16535,16536
16124,16130
16125,16139
14611,14613
11960,11967
11872,11867
12332,12340
12815,12819
11502,11509
11519,11533
12347,12355
12351,12356
10607,10618
10611,10624
9134,9147
9138,9149
9142,9151
11483,11490
11467,11482
10975,10979
11889,11905
6694,6690
34341,34344
40338,40343
40271,40279
40290,40295
36827,36831
36847,36846
37348,37347
36687,36692
39881,39874
36506,36509
23624,23638
16271,16276
38016,38014
26868,26872
37870,37869
37871,37867
39800,39804
39921,39930
36700,36704
37744,37740
28049,28048
38647,38646
37952,37954
15848,15852
39278,39277
16286,16293
23125,23131
23127,23133
11693,11696
16969,16975
16954,16960
40292,40291
27620,27625
40512,40526
13829,13833
13830,13835
40499,40501
24920,24925
19168,19175
19154,19161
6525,6532
22907,22910
22477,22476
25981,25983
25990,25987
25900,25902
22508,22506
7474,7482
6902,6906
6910,6908
6914,6895
6422,6430
6775,6779
22375,22379
13761,13771
10338,10352
27196,27200
14322,14326
14323,14335
21933,21935
13811,13817
35567,35563
39457,39458
21315,21308
40513,40518
27717,27724
27737,27736
27746,27743
22385,22384
28662,28660
23086,23094
23519,23527
26075,26074
26081,26083
14940,14939
14941,14946
14926,14925
15849,15850
26963,26960
26970,26972
39923,39935
7981,7980
16354,16361
16355,16362
14302,14301
17027,17035
18559,18554
13861,13868
17454,17465
17462,17451
13380,13387
6137,6140
17938,17935
12135,12141
12136,12145
13367,13374
29789,29787
29794,29798
29527,29532
17500,17515
39803,39808
13796,13794
17501,17510
16212,16218
37748,37742
35415,35419
35418,35420
36269,36268
31353,31350
16835,16836
16843,16841
27718,27720
27731,27726
27285,27287
27298,27293
28577,28579
28588,28584
14304,14299
21779,21780
21755,21756
21770,21772
22310,22311
29551,29553
30374,30375
30387,30379
12705,12712
12716,12701
13732,13731
13746,13750
23974,23980
12668,12675
12678,12664
23959,23965
23944,23950
17456,17455
17478,17477
17940,17939
17952,17957
17502,17499
12619,12635
13040,13038
17029,17028
4052,4050
13919,13920
17479,17496
12099,12098
12451,12458
12947,12946
12915,12922
12048,12059
12542,12538
12978,12977
17458,17473
12049,12062
17481,17492
39709,39715
12543,12551
12544,12555
12948,12949
12960,12961
12050,12051
12061,12056
12979,12988
12980,12994
12120,12126
12513,12514
12526,12527
12482,12483
12497,12498
20815,20817
20819,20813
21782,21776
21787,21794
22312,22308
17482,17475
22643,22648
22645,22651
8365,8373
19004,18996
13815,13821
13816,13822
14305,14308
14942,14943
14959,14960
17030,17034
17032,17036
14325,14328
14345,14348
12138,12140
16288,16290
17944,17953
17460,17469
17505,17513
28184,28181
27738,27735
27719,27715
27286,27283
28165,28162
29235,29232
29744,29742
29759,29757
28689,28686
28597,28600
28605,28594
28635,28633
29498,29495
29220,29217
29483,29480
30607,30605
29189,29187
24337,24333
17945,17937
23925,23937
23088,23097
24007,24010
24008,24016
24449,24456
23894,23888
24356,24351
24377,24371
17553,17551
13735,13745
18101,18098
18112,18109
18125,18122
18484,18482
18560,18558
18588,18585
13041,13048
13047,13050
19030,19028
23875,23871
20836,20842
28703,28701
28715,28718
18575,18572
27754,27760
15006,15004
14994,14993
17016,17012
18137,18134
20310,20308
15018,15024
26989,27002
24762,24773
30110,30112
17585,17588
18624,18619
13368,13370
13381,13383
26194,26188
27822,27821
24481,24493
21804,21803
12620,12626
24025,24032
24041,24047
20870,20869
5941,5940
7860,7859
9262,9276
8089,8085
8097,8096
40080,40078
39089,39093
35747,35754
39411,39410
35765,35762
6482,6483
6484,6489
5927,5923
5928,5933
35569,35576
25664,25658
26095,26087
17638,17641
17646,17650
35417,35421
17485,17488
17486,17476
17494,17474
12102,12113
12103,12114
12078,12090
12079,12091
12122,12130
12123,12131
12052,12066
12053,12067
23626,23629
12981,12982
12454,12471
12455,12473
12484,12485
12515,12516
25131,25136
12918,12919
12950,12951
12545,12546
12558,12559
28704,28699
20818,20810
24338,24335
20837,20833
9263,9281
8389,8402
8367,8380
8062,8076
8116,8130
7834,7848
7784,7782
7760,7761
20852,20849
20853,20858
7623,7620
7597,7595
18991,18982
19005,19011
9293,9299
25828,25838
6925,6922
18183,18180
18185,18189
8431,8449
6386,6387
19479,19482
4053,4051
4057,4063
17639,17645
19169,19171
12177,12180
13737,13736
7835,7842
33260,33277
33131,33143
28529,28527
28530,28544
28510,28508
28513,28525
33115,33122
33121,33108
33477,33482
33493,33500
9264,9278
36350,36354
33623,33642
7061,7064
7063,7069
25118,25130
26044,26054
40151,40149
40132,40130
6905,6896
26584,26588
4796,4794
4798,4803
4558,4556
4561,4567
4564,4551
34014,34015
3823,3831
10730,10735
10745,10744
35079,35078
34631,34633
35781,35780
13,23
37232,37233
37236,37238
5400,5404
35748,35743
32870,32877
17640,17643
26953,26956
19480,19486
7149,7144
29780,29774
29841,29838
40002,40001
17113,17116
23859,23865
28167,28166
24398,24403
24378,24382
24357,24361
20838,20844
11647,11656
11634,11635
18968,18963
18970,18971
18972,18978
26966,26965
25166,25174
14353,14357
7000,6999
23928,23931
23936,23932
19006,19007
23961,23955
23963,23954
15007,15008
18498,18499
23976,23970
23978,23969
18468,18475
18469,18477
14418,14419
14421,14422
35010,35011
36590,36586
17571,17572
31010,31007
36236,36244
27722,27714
20855,20857
10202,10196
24466,24472
24416,24413
25689,25688
25692,25690
18589,18592
18576,18567
18561,18553
18548,18546
18625,18628
17586,17583
16358,16360
16984,16986
18113,18117
26210,26209
9136,9143
9482,9478
9484,9474
9504,9500
6851,6855
6863,6849
7212,7210
7223,7207
10340,10344
10347,10349
9821,9826
9824,9830
8779,8775
9584,9591
10035,10040
28692,28685
