locked_uid,control_uid
39861,39862
39966,39972
39977,39976
39536,39540
22355,22360
11686,11687
27188,27191
39827,39841
39828,39842
15507,15513
15512,15519
15517,15522
10869,10872
10885,10889
23482,23490
23497,23501
22264,22289
10219,10223
21773,21778
21789,21795
22306,22309
21751,21753
31575,31577
31581,31579
31347,31357
30650,30663
22227,22238
21251,21253
22265,22279
23483,23495
21264,21266
21273,21272
21277,21267
25455,25463
28698,28705
30388,30395
30396,30400
34335,34339
3854,3862
39313,39314
23444,23448
23450,23460
37252,37260
37261,37263
20263,20265
24368,24380
24388,24397
23869,23877
23886,23897
23905,23916
23514,23515
23524,23529
8708,8725
27189,27190
40267,40272
40269,40276
16831,16844
16834,16845
16848,16850
39792,39796
36630,36645
39783,39787
36612,36625
35277,35278
36149,36153
30811,30817
28227,28233
28232,28243
39443,39444
10193,10207
10199,10208
18540,18549
18545,18550
9379,9382
9387,9385
28228,28235
36458,36466
36459,36469
30773,30780
32023,32024
30389,30397
30637,30638
29537,29546
30702,30710
29770,29776
29778,29783
30344,30351
30327,30336
30652,30657
28247,28256
29245,29249
29251,29255
29835,29843
29966,29977
29983,29991
30312,30319
30255,30257
31042,31048
31052,31054
28832,28842
31578,31583
31588,31594
27372,27381
27380,27382
26153,26162
27036,27044
27018,27025
27004,27017
27834,27840
27844,27846
26752,26758
26733,26739
26743,26749
26716,26723
26170,26187
27394,27404
27401,27405
24474,24480
24775,24783
24458,24473
24738,24754
24755,24764
24760,24768
25199,25205
25702,25708
25709,25710
25713,25718
24441,24457
25719,25725
25726,25733
25735,25743
6032,6033
7142,7143
22443,22446
22449,22451
9669,9683
4333,4347
4334,4350
9424,9423
9670,9682
23082,23083
25175,25177
25179,25191
25182,25195
24703,24705
25624,25625
25629,25627
25635,25641
15510,15525
15516,15526
23531,23543
23120,23134
21265,21268
21276,21275
21678,21686
14337,14346
5921,5920
3435,3434
3417,3425
3431,3432
3436,3437
33473,33483
33488,33489
27510,27529
31375,31380
31386,31381
33435,33448
32760,32775
35213,35221
35672,35687
32528,32536
39863,39869
34460,34463
34796,34810
34812,34813
30190,30188
33524,33528
33437,33443
32762,32776
6691,6693
24064,24068
24066,24069
5153,5159
7204,7211
32530,32547
34797,34815
36103,36116
24065,24067
37401,37414
36318,36332
