locked_uid,control_uid
20263,20265
20270,20275
28855,28866
28858,28867
28309,28323
27419,27421
27455,27465
27438,27440
39431,39432
39117,39118
38740,38741
37010,37018
36317,36326
35442,35447
37160,37173
14728,14727
14215,14222
39018,39017
39021,39022
12403,12402
12407,12409
12421,12406
36685,36684
37587,37588
37599,37589
37572,37573
37576,37577
37279,37280
37284,37283
2247,2251
2256,2261
2248,2250
2258,2265
5602,5610
5848,5863
4985,4984
2782,2793
2794,2797
2268,2273
5695,5693
38437,38442
37386,37389
36319,36322
36298,36300
36306,36309
35902,35915
35647,35649
38014,38016
35443,35445
38482,38485
36320,36325
21653,21657
13650,13659
36336,36341
14788,14795
36064,36065
12870,12882
36043,36045
35903,35908
35677,35678
36955,36957
37347,37348
38809,38810
37083,37084
36937,36943
36945,36947
36898,36901
36903,36905
37162,37168
37170,37172
36846,36847
37387,37391
33809,33811
33815,33812
38048,38050
37869,37870
36686,36688
38254,38256
37857,37855
38326,38327
36815,36817
37678,37680
38270,38271
37329,37336
37333,37339
38339,38340
38483,38484
13629,13636
39040,39039
39315,39317
39056,39055
27422,27435
27458,27457
8184,8195
19657,19653
19666,19664
22977,22982
20536,20539
22507,22509
7877,7882
8081,8082
8383,8398
4141,4146
8852,8868
8869,8874
20537,20542
22958,22966
22948,22953
22534,22528
35283,35284
22959,22964
24619,24617
24620,24623
21931,21929
24577,24580
8853,8861
24589,24590
8186,8191
22979,22973
22980,22983
22865,22866
24531,24535
23733,23734
19542,19545
19544,19548
12509,12505
12479,12475
5880,5878
5892,5891
10185,10187
10192,10188
28406,28412
4698,4699
1455,1454
781,780
769,768
790,789
2249,2264
2458,2466
2348,2357
2512,2511
2513,2515
2349,2363
22767,22766
22774,22780
22788,22791
35744,35751
5244,5246
5255,5253
10751,10757
27442,27439
27423,27425
28313,28315
28327,28330
27459,27456
33442,33452
34977,34982
34800,34798
30126,30134
5531,5532
13652,13658
27620,27625
35285,35278
22449,22446
26491,26494
26496,26497
26482,26485
22949,22955
24567,24569
22508,22506
22543,22549
22938,22943
8188,8182
