locked_uid,control_uid
20263,20265
20270,20275
37867,37870
37869,37871
37855,37858
37344,37346
28855,28866
28858,28867
38740,38741
15424,15434
15399,15417
15416,15422
35996,35995
36317,36326
36296,36304
36041,36060
36084,36100
36062,36066
36067,36071
36074,36082
35442,35447
36953,36968
38252,38262
14728,14727
39018,39017
39021,39022
38823,38824
38826,38827
14215,14222
12403,12402
12407,12409
12421,12406
37253,37254
37572,37573
37576,37577
37583,37584
37279,37280
37284,37283
37292,37293
36685,36684
36474,36473
37587,37588
37599,37601
37600,37589
36936,36951
37311,37326
37296,37300
37299,37308
37328,37341
5848,5863
4985,4984
36319,36322
8819,8823
8833,8834
35443,35445
38014,38016
36320,36325
38482,38485
21653,21657
15753,15773
15401,15400
15409,15421
15426,15444
13650,13659
14806,14813
36336,36341
36064,36065
14788,14795
12870,12882
12016,12025
36043,36045
12425,12433
12437,12435
14237,14245
35903,35904
40218,40225
40224,40228
36000,36001
36955,36957
33809,33811
33815,33812
36937,36943
37083,37084
37387,37391
37347,37348
37162,37168
36846,36847
38809,38810
38254,38256
36815,36817
38339,38340
37329,37339
38326,38327
36686,36688
38270,38271
38281,38275
37678,37680
38048,38050
38483,38484
39315,39317
39040,39039
13629,13636
13640,13637
39056,39055
15807,15806
25162,25161
36633,36639
8852,8874
22958,22966
20537,20542
22948,22953
22534,22528
22522,22515
40221,40226
20878,20882
20891,20883
22865,22866
22979,22973
22980,22983
22566,22570
22959,22964
24619,24617
24620,24623
24577,24580
24583,24582
8853,8861
8864,8867
8186,8192
21931,21929
4697,4702
10185,10187
10192,10188
28406,28412
1455,1454
769,768
781,780
790,789
2349,2363
2515,2513
2250,2248
2265,2258
4033,4037
8854,8857
36216,36222
36635,36634
15808,15818
19543,19541
19552,19547
33442,33452
34800,34798
37710,37709
35217,35219
3860,3861
3870,3865
7446,7445
7455,7452
7456,7451
13704,13699
13273,13283
5665,5676
13652,13658
38082,38085
6020,6023
6028,6024
36636,36631
6175,6179
6183,6181
5666,5667
5792,5793
39086,39085
15809,15819
27620,27625
40273,40272
