locked_uid,control_uid
22246,22249
22306,22309
21773,21778
21789,21795
23868,23870
23884,23873
20831,20847
24331,24332
30650,30663
30653,30666
22247,22257
16831,16834
39875,39876
39884,39886
36149,36153
32022,32028
18540,18545
18552,18550
4736,4752
32023,32024
29245,29249
29251,29255
29770,29776
28776,28779
28783,28788
28264,28266
28247,28249
28253,28256
29966,29970
28795,28797
29983,29991
29537,29545
29542,29546
30255,30257
30270,30274
30312,30316
30318,30319
30327,30331
30333,30336
30344,30348
30350,30351
30637,30638
30652,30657
6032,6033
6967,6968
4333,4347
4334,4350
23515,23514
23954,23955
23969,23970
23976,23978
6216,6225
23082,23083
25624,25625
25639,25638
25175,25177
25192,25191
24703,24705
23120,23134
23531,23535
27280,27281
16962,16963
33488,33489
33109,33124
36459,36458
36465,36466
30190,30188
7204,7211
33475,33487
33113,33129
33491,33506
33511,33522
36152,36156
20928,20929
6218,6215
6226,6224
34647,34650
35073,35088
35090,35092
39877,39887
0,3
29755,29761
39490,39489
4339,4344
6984,6986
7160,7163
7370,7373
7376,7380
40217,40220
16855,16860
16876,16881
26042,26045
13668,13674
13669,13675
14753,14761
31377,31387
22248,22252
35647,35649
32532,32531
35443,35445
23487,23509
36320,36325
15753,15773
34798,34800
34976,34979
13628,13639
14730,14744
11619,11627
35776,35777
34919,34920
36064,36065
36043,36045
14167,14180
35677,35678
40218,40224
40225,40228
33809,33811
35648,35654
35629,35633
34799,34811
37162,37168
13629,13636
32487,32489
24067,24065
34574,34581
25781,25783
8692,8706
451,453
7371,7375
10225,10218
25782,25778
30192,30205
36744,36746
23517,23516
11689,11702
23972,23971
15806,15807
23533,23532
23957,23956
23985,23994
25587,25586
25599,25598
24685,24693
23942,23941
25178,25186
25614,25615
25647,25652
25660,25667
25161,25162
23908,23910
23914,23906
23889,23891
23895,23887
20865,20864
18095,18094
28232,28233
17579,17580
24334,24346
23909,23911
23920,23918
23890,23892
24352,24349
23872,23874
16965,16964
18984,18983
30193,30196
18044,18042
15754,15757
18985,18986
18993,18987
23548,23556
17548,17550
16979,16980
29788,29800
28674,28677
28661,28664
27805,27802
29233,29230
28268,28274
29805,29817
30330,30343
29481,29484
29496,29493
27787,27784
30315,30313
27771,27768
28744,28741
29526,29534
29203,29206
28234,28242
29218,29221
30002,30015
28251,28259
27305,27302
27314,27313
29987,29984
25163,25168
26962,26971
24687,24695
24429,24436
25180,25185
26091,26086
25628,25633
24708,24720
26073,26068
3439,3445
3419,3418
16185,16182
38700,38714
36745,36742
36757,36758
27576,27577
27581,27587
39833,39843
40221,40226
8694,8701
8695,8703
8707,8704
9597,9601
34579,34572
9197,9193
11621,11628
8729,8734
3012,3025
34651,34659
35779,35783
10227,10232
12406,12409
12407,12403
12421,12424
6221,6219
33542,33553
15808,15818
16952,16959
12944,12942
6222,6220
12540,12537
18618,18617
18584,18590
18121,18124
14381,14389
18108,18111
38676,38681
16025,16023
9134,9142
9138,9147
11889,11905
10607,10618
10611,10624
40290,40295
40338,40343
16271,16274
38508,38503
38677,38683
22374,22378
40291,40292
40339,40340
37495,37498
38647,38646
15848,15851
23125,23131
23127,23133
