locked_uid,control_uid
287,289
6228,6237
6029,6030
36472,36475
39536,39540
18167,18171
20926,20928
11686,11687
39827,39828
14109,14121
23418,23419
21676,21679
21680,21681
1359,1361
6210,6211
39313,39314
39722,39728
23484,23485
36149,36153
116,115
464,467
6213,6214
36458,36459
34572,34579
9380,9388
4333,4347
4334,4350
24063,24073
9670,9682
19652,19653
5937,5942
493,494
2090,2092
3435,3434
30189,30187
6217,6222
28877,28897
31392,31396
32529,32533
5693,5692
5695,5696
20336,20337
11228,11227
807,809
1614,1629
1599,1598
5071,5070
12172,12173
12179,12171
18180,18178
972,970
1089,1088
6232,6241
6233,6242
38436,38435
2782,2797
2793,2798
12637,12636
2268,2273
26452,26449
10516,10518
10223,10220
615,620
955,966
39491,39490
13272,13274
39831,39834
5242,5243
30191,30199
35776,35775
28881,28892
756,757
451,453
355,352
3377,3378
20930,20927
9386,9384
30981,30980
30986,30979
31003,30992
31005,30978
18929,18928
34577,34576
28028,28027
7444,7442
7459,7453
14706,14719
22595,22596
34356,34355
13731,13729
29939,29940
29943,29938
31842,31845
31844,31839
31756,31763
31843,31847
25783,25781
382,388
2136,2137
7209,7202
6366,6370
21055,21049
16834,16831
11195,11194
3625,3627
10199,10193
27489,27483
1455,1454
1460,1467
1907,1906
1491,1492
588,586
2611,2626
2249,2264
254,252
2613,2610
3091,3096
3379,3373
3386,3387
3389,3372
3380,3391
3075,3072
3216,3238
4033,4042
9028,9027
4306,4302
29926,29925
6694,6690
26862,26860
3860,3865
5539,5538
5545,5540
27857,27853
20397,20401
20398,20404
34581,34574
6137,6140
6903,6897
36268,36269
17917,17922
28314,28312
28860,28872
29588,29591
22143,22158
27858,27862
28345,28346
153,152
211,214
55,62
88,87
89,86
496,492
39866,39862
39873,39861
4104,4102
7574,7582
8430,8441
13919,13922
35418,35415
35420,35419
35422,35429
34395,34391
34396,34390
23072,23075
16840,16846
337,336
339,344
267,272
338,346
27755,27751
39544,39539
16812,16814
39575,39573
4123,4136
34174,34172
39867,39865
16842,16832
10203,10194
36721,36727
27117,27115
34541,34542
24642,24651
20339,20338
20340,20344
27118,27116
14,13
618,621
667,668
15,22
422,418
2251,2247
30075,30070
15897,15899
2195,2194
39641,39643
18912,18911
17430,17441
30990,30983
7927,7940
26923,26928
17325,17330
5214,5207
34926,34923
53,51
2000,2006
268,274
271,265
258,253
3029,3026
26549,26550
2205,2204
3862,3854
5293,5291
2124,2121
28491,28489
3877,3874
32201,32205
35330,35331
4125,4132
3046,3047
3017,3019
4126,4135
5496,5510
5154,5152
40368,40384
25787,25779
6353,6352
2095,2089
2125,2122
31264,31262
2783,2799
2788,2800
17431,17448
9648,9649
9650,9656
22419,22416
7488,7491
7358,7369
6614,6616
6620,6617
23163,23160
5589,5587
27926,27936
21822,21830
1231,1228
1389,1387
2018,2017
1291,1293
1348,1349
2969,2973
37937,37944
18635,18639
15891,15890
2941,2939
2942,2937
38703,38709
38722,38736
36664,36667
26925,26924
18187,18179
3219,3223
17612,17620
5321,5316
38659,38661
29128,29139
22816,22822
34310,34322
35581,35579
5431,5429
38996,38998
39472,39482
4953,4955
40354,40356
22817,22825
39101,39099
39102,39104
32688,32692
32689,32694
5336,5334
27520,27514
26384,26386
33627,33622
19846,19847
6722,6713
21327,21325
32690,32695
8161,8164
32389,32395
18146,18147
34050,34046
29055,29068
11303,11297
24842,24850
28009,28018
3572,3578
3467,3468
5533,5529
9030,9026
9035,9025
9652,9658
11305,11295
27992,28007
4188,4187
1477,1475
9359,9362
1511,1510
1478,1476
1558,1569
1563,1552
1689,1691
1699,1686
1495,1505
1364,1367
269,275
728,722
260,251
1443,1444
1734,1741
236,240
263,255
392,398
2351,2358
302,297
341,335
10,9
3,5
4,0
1601,1611
1281,1287
1286,1288
2253,2263
2255,2246
1969,1970
1979,1977
393,396
1322,1321
1326,1320
4105,4109
4111,4116
2761,2768
2960,2958
2970,2972
2976,2978
2057,2051
1662,1657
3429,3423
3222,3218
3233,3224
3729,3727
4748,4737
3880,3878
4128,4134
5497,5502
3269,3273
33679,33677
31538,31540
8901,8907
8902,8913
16036,16053
9712,9710
19142,19147
39891,39890
2007,2009
39179,39181
13842,13848
35177,35181
37954,37952
9713,9723
14428,14427
24662,24664
8136,8159
11178,11182
28333,28342
9628,9627
35178,35179
33688,33700
37776,37772
4003,4004
39294,39308
39473,39475
16232,16235
24663,24671
24281,24282
34189,34190
9689,9696
9702,9700
35978,35976
32409,32412
35059,35058
5158,5163
4701,4696
4703,4695
35964,35960
29056,29070
19143,19153
3901,3900
24052,24062
23167,23162
37810,37814
29979,29973
30666,30663
27907,27913
19408,19412
3470,3469
3573,3575
3576,3597
1835,1833
562,561
1006,1004
1605,1610
18,21
592,590
350,351
4106,4103
4107,4113
2272,2274
2531,2532
13079,13074
4749,4743
3886,3894
11336,11335
24723,24725
24735,24733
5169,5170
32314,32313
26910,26909
23452,23454
24882,24888
3200,3196
39869,39863
31419,31430
37956,37958
10143,10145
7546,7544
5304,5309
35421,35417
15900,15898
30993,30984
30999,30977
20965,20976
24883,24884
10171,10172
10914,10915
10918,10917
18917,18909
21219,21218
32317,32323
15775,15787
13321,13324
6661,6666
9998,9997
10000,10012
4666,4683
4671,4684
15901,15902
4223,4238
9046,9047
34079,34083
33949,33957
29667,29670
5337,5340
20894,20897
