locked_uid,control_uid
147,150
148,152
29401,29409
39966,39972
39536,39540
39548,39551
29402,29411
29403,29412
11686,11695
11687,11698
15507,15512
15517,15519
10869,10872
39487,39496
23482,23506
23490,23512
22246,22249
17934,17956
22306,22309
21773,21778
21789,21795
21751,21753
21761,21754
20831,20847
17474,17476
17485,17494
5315,5319
17935,17938
17946,17955
9285,9299
31347,31357
22247,22257
21251,21253
28143,28140
30388,30395
30396,30400
3854,3862
39313,39314
23514,23524
23515,23529
16831,16844
16834,16845
16848,16850
39875,39886
36612,36625
35277,35278
36149,36153
30651,30654
30659,30665
30662,30655
15424,15445
19040,19050
18540,18549
18545,18550
19022,19032
9379,9382
9387,9385
36102,36107
36315,36316
28228,28235
29966,29970
29972,29977
30270,30274
30312,30319
30327,30336
29537,29546
30344,30351
30255,30257
29245,29249
29251,29255
30702,30710
29835,29843
29770,29776
29778,29783
30017,30019
30652,30657
31588,31594
30401,30408
33382,33393
31042,31048
31054,31052
31323,31330
31348,31354
31352,31358
26153,26159
24738,24745
24755,24764
24760,24768
23998,24011
24775,24783
24474,24483
24480,24489
24458,24473
24441,24457
6229,6230
9669,9683
38936,38945
4333,4350
24063,24073
23954,23955
23969,23970
6216,6225
39274,39283
39280,39286
31349,31356
24703,24705
24707,24713
24717,24719
25624,25625
25639,25638
15510,15516
25175,25177
25192,25191
23531,23543
23120,23134
18178,18180
18183,18189
21265,21268
21276,21275
21678,21686
30834,30842
17561,17562
17564,17565
14337,14346
16962,16963
3435,3434
31374,31385
33488,33502
33473,33483
31375,31380
33435,33448
35213,35221
34460,34463
34796,34810
30190,30188
30200,30201
25779,25787
32762,32776
32778,32777
33437,33443
33524,33528
33111,33125
7224,7229
7233,7241
8709,8722
7225,7228
24064,24068
24066,24072
7204,7211
40146,40149
40151,40156
34797,34815
36296,36307
36317,36327
36323,36328
35851,35859
35635,35643
35442,35451
36103,36116
36318,36332
36297,36311
7205,7217
7214,7218
31668,31686
33475,33487
32764,32779
33526,33525
31669,31679
15511,15523
6380,6385
6218,6215
7125,7134
7136,7140
15425,15423
15433,15439
34918,34921
34933,34928
18168,18172
18174,18175
