setting,network_layer,duration_days,k_days,alpha,total_bundle_days,mean_annual_bundle_days,theil_sen_slope_per_year,theil_sen_95_low,theil_sen_95_high,kendall_tau,kendall_p,long_range_edges,top_bundle_labels
D=1,Coherent,1,3,0.005,64,2.56,0.0,0.0,0.0,0.2077163147557993,0.1894392624344789,22,"-118,34->3,51; -118,34->5,51; 80,7->110,-8"
D=1,Dipole,1,3,0.005,247,9.88,1.0,0.125,1.5,0.5987654426610094,7.905974188819168e-05,484,"114,33->-103,34; 83,34->34,39; 31,50->-102,36"
D=3,Coherent,3,3,0.005,111,4.44,0.2,0.0666666666666666,0.4285714285714285,0.5863929990299123,0.0001213495590137,13535,"-92,33->118,31; 34,40->117,32; -99,34->-16,43"
D=3,Dipole,3,3,0.005,22,0.88,0.0,0.0,0.1176470588235294,0.4608988453714543,0.0040104027078455,35699,"106,35->-91,36; -90,35->66,37; 33,42->103,33"
K=1,Coherent,2,1,0.005,386,15.44,1.3636363636363635,0.5,2.142857142857143,0.6731479815970669,6.959747227785884e-06,7129,"-101,33->-9,42; -90,32->118,32; 31,41->116,31"
K=1,Dipole,2,1,0.005,144,5.76,0.6,0.2857142857142857,0.9230769230769232,0.6446527534287295,1.715491251188531e-05,15430,"73,39->-91,35; -91,37->64,39; 27,43->103,33"
K=5,Coherent,2,5,0.005,209,8.36,0.5555555555555556,0.25,1.0625,0.5239143207995436,0.0004211292574214,936,"-99,32->10,40; -94,26->115,22; 9,48->114,33"
K=5,Dipole,2,5,0.005,98,3.92,0.2817460317460317,0.0,0.5555555555555556,0.4619384123172628,0.0022434950630829,8634,"106,35->-94,38; -32,43->-95,37; 63,39->106,31"
Primary,Coherent,2,3,0.005,281,11.24,0.8,0.3636363636363636,1.4285714285714286,0.6045109225096396,4.170804515831381e-05,2403,fixed main-text top-three bundles
Primary,Dipole,2,3,0.005,106,4.24,0.2638888888888889,0.1,0.5882352941176471,0.5237229365663817,0.0005215059932002,11439,fixed main-text top-three bundles
p<0.001,Coherent,2,3,0.001,271,10.84,0.6794871794871795,0.4,1.375,0.5937344629422118,4.752162513351648e-05,1077,"-108,34->-3,48; -91,26->118,32; 28,38->113,23"
p<0.001,Dipole,2,3,0.001,96,3.84,0.3798076923076923,0.0,0.5833333333333334,0.583752483208352,0.0001527148210308,4473,"79,38->-93,37; 66,39->107,32; 82,36->13,45"
p<0.01,Coherent,2,3,0.01,288,11.52,0.8571428571428571,0.25,1.6428571428571428,0.6184009646551497,2.9834178972763963e-05,3684,"-98,33->5,37; -93,29->113,28; 14,48->115,31"
p<0.01,Dipole,2,3,0.01,118,4.72,0.3333333333333333,0.1176470588235294,0.7058823529411765,0.5455447255899809,0.000301484993382,17781,"99,35->-93,37; 65,39->109,33; -46,42->-93,35"
