locked_uid,control_uid
287,289
6029,6030
6228,6237
36472,36475
39536,39540
18167,18171
30188,30190
20926,20928
11686,11687
39827,39828
12402,12406
14109,14121
23418,23419
21676,21679
21680,21681
21264,21273
1359,1361
6210,6211
39313,39314
39722,39728
23484,23485
36149,36153
116,115
464,467
6213,6214
36458,36459
34572,34579
9380,9388
4333,4347
4334,4350
24063,24073
9670,9682
19652,19653
5937,5942
493,494
2090,2092
3435,3434
3447,3438
30189,30187
6217,6222
28877,28897
31392,31396
32529,32533
36152,36156
20336,20337
807,809
1599,1598
1614,1629
5071,5070
39538,39553
27190,27189
12172,12173
12179,12171
18180,18178
18185,18183
972,970
1089,1088
6232,6241
6233,6242
38436,38435
14890,14903
2782,2797
2793,2798
2268,2273
26452,26449
10516,10518
10223,10220
5695,5693
5698,5696
5700,5692
615,620
39491,39490
13272,13274
39831,39834
5242,5243
30191,30199
35776,35775
28881,28892
756,757
355,352
451,453
20930,20927
9386,9384
30981,30980
30986,30979
31003,30992
31005,30978
18929,18928
34577,34576
28028,28027
7444,7442
7459,7453
14706,14719
22595,22596
34356,34355
13731,13729
29939,29940
29943,29938
31842,31845
31844,31839
36266,36267
31756,31763
31843,31847
25783,25781
382,388
7209,7202
6366,6370
4141,4146
21055,21049
16834,16831
11195,11194
3625,3627
10199,10193
27489,27483
3297,3296
1455,1454
1460,1467
1491,1492
1907,1906
588,586
2611,2626
2249,2264
254,252
2613,2610
3091,3096
3379,3373
3386,3387
3389,3372
3380,3391
3075,3072
3216,3238
4033,4042
9028,9027
3143,3144
4306,4302
29926,29925
3382,3381
4050,4052
6694,6690
26862,26860
3860,3865
5539,5538
5545,5540
27857,27853
20397,20401
20398,20404
34581,34574
6137,6140
6903,6897
4051,4053
36268,36269
17917,17922
28860,28872
28314,28312
29588,29591
22143,22158
28345,28346
27858,27862
211,214
153,152
55,62
88,87
89,86
496,492
4215,4221
39866,39862
39873,39861
4104,4102
7574,7582
12176,12181
8430,8441
13919,13922
12640,12637
20426,20428
34395,34391
34396,34390
35418,35415
35420,35419
35422,35429
23072,23075
16840,16846
7447,7443
337,336
339,344
267,272
338,346
27755,27751
39544,39539
37233,37232
16812,16814
16813,16815
11230,11226
39575,39573
4123,4136
34174,34172
39867,39865
16842,16832
10911,10920
36721,36727
10203,10194
20400,20408
27117,27115
34541,34542
24642,24651
20339,20338
20340,20344
27118,27116
942,943
14,13
618,621
667,668
15,22
422,418
30075,30070
39641,39643
18912,18911
24141,24144
17430,17435
17449,17441
30990,30983
