locked_uid,control_uid
27188,27191
25911,25915
25922,25923
25927,25920
21724,21729
22266,22269
23053,23056
23461,23464
37571,37582
20263,20265
20270,20275
37989,37994
37855,37858
37867,37871
37344,37346
39637,39638
27438,27440
28855,28866
28858,28867
27455,27465
39017,39022
38740,38741
38806,38807
15424,15434
15399,15417
15416,15422
21108,21110
21121,21116
32186,32190
13715,13727
35996,35995
36041,36060
36062,36066
36067,36071
36296,36304
36317,36326
35442,35447
38252,38262
14728,14727
12403,12402
12407,12409
12421,12406
38433,38434
14215,14222
38823,38824
38826,38827
38831,38822
38969,38968
38795,38796
39006,39008
39009,39010
37328,37341
37572,37573
37576,37577
37583,37584
37253,37254
37587,37588
37589,37601
37279,37280
37284,37283
37292,37293
36685,36684
37691,37705
37311,37326
36936,36951
36474,36473
37296,37300
37299,37308
31102,31119
15425,15423
15439,15433
2248,2258
5923,5927
3872,3875
5848,5863
4985,4984
14931,14942
14943,14945
2782,2793
2794,2797
36632,36629
36647,36646
2268,2273
40245,40252
40249,40253
40255,40263
38080,38078
17675,17691
13755,13765
13760,13767
14314,14325
14328,14332
22446,22443
14293,14305
28380,28401
14826,14833
8819,8823
8833,8834
22228,22232
23462,23465
38014,38016
35443,35445
23487,23509
36320,36325
38482,38485
22209,22211
14806,14813
14816,14823
15401,15400
15409,15421
13669,13668
13675,13674
35216,35224
15753,15773
14845,14856
14858,14863
15426,15444
14827,14842
34976,34979
21653,21657
36043,36045
36064,36065
34224,34226
14237,14257
31103,31111
31106,31112
36937,36943
37162,37168
36000,36001
37347,37348
38809,38810
36955,36957
33809,33812
33811,33819
33815,33825
37329,37339
36815,36817
38339,38340
37678,37680
38048,38050
38448,38451
38254,38256
36686,36688
38270,38271
38281,38275
39056,39055
39061,39058
39315,39317
39040,39039
39045,39042
13629,13636
38483,38484
27458,27457
23723,23722
13804,13805
9386,9384
15807,15806
18984,18983
16810,16818
14921,14920
39158,39165
13758,13756
25162,25161
36633,36639
21113,21122
21473,21477
22034,22037
14935,14937
18986,18985
18987,18993
13807,13809
13808,13806
4141,4146
8852,8874
22035,22032
21443,21448
22948,22953
22927,22921
21114,21107
22534,22528
22522,22515
35122,35123
35283,35284
9387,9385
9390,9391
12538,12542
20878,20882
21931,21929
23301,23302
22959,22964
23725,23727
8853,8861
24605,24603
24608,24609
22566,22570
24531,24535
24619,24617
24631,24630
24632,24637
22865,22866
8186,8192
22979,22973
22980,22983
24577,24580
4740,4746
4697,4712
3625,3627
7445,7451
7446,7452
10185,10187
10192,10188
28360,28371
28915,28914
28381,28390
28406,28412
4698,4699
3297,3296
1455,1454
1460,1467
781,780
784,779
790,789
769,768
2249,2264
2348,2357
3073,3084
3091,3096
2349,2364
2487,2494
2515,2513
4741,4751
4033,4037
5851,5844
5856,5867
5619,5620
38081,38090
36216,36222
15808,15818
39159,39163
39174,39164
14319,14320
14324,14318
14327,14329
14334,14331
22767,22766
14299,14298
14304,14297
14307,14309
22788,22791
3143,3144
3145,3158
5244,5246
4431,4434
4438,4426
39706,39710
27194,27192
27340,27339
27347,27348
27379,27378
27358,27357
27366,27367
38676,38681
19543,19541
19552,19547
19724,19726
38257,38260
27359,27360
27341,27342
27380,27381
26723,26724
26739,26740
33403,33399
5211,5209
33442,33452
16271,16274
36940,36939
34800,34798
37419,37418
26862,26860
37389,37386
36105,36119
37710,37709
34977,34988
37694,37693
37165,37164
35234,35232
35235,35238
35244,35241
35217,35226
30126,30134
3860,3861
3870,3865
13704,13699
5212,5208
13652,13658
38328,38329
38066,38062
38067,38073
38082,38091
38085,38092
36636,36631
5792,5793
5666,5667
39086,39085
15809,15819
40340,40339
40273,40272
27620,27625
24606,24607
35285,35278
22882,22885
22928,22923
22938,22943
23386,23388
23393,23390
23394,23381
22949,22955
22543,22549
26426,26430
26491,26494
26496,26497
24920,24925
24567,24569
25885,25888
19544,19542
9289,9297
19640,19638
19648,19642
19198,19197
6940,6950
16009,16015
6422,6424
39456,39467
11299,11300
27196,27200
27202,27201
21933,21935
21936,21938
15810,15805
23421,23435
34581,34574
23598,23596
23602,23604
23606,23593
26988,26990
26996,27000
26997,26991
14323,14322
14335,14326
14302,14301
9198,9195
9206,9194
6480,6491
38083,38079
38086,38089
14927,14918
27443,27447
27460,27464
10442,10443
4215,4221
13732,13731
39866,39862
39873,39861
13956,13954
13968,13965
4104,4102
12074,12092
9291,9300
4450,4454
13733,13730
8430,8438
31807,31806
27228,27231
27235,27236
10444,10451
12640,12637
26989,27002
13957,13959
13964,13966
10445,10456
39089,39093
39098,39096
12454,12455
12471,12456
12052,12053
9293,9299
31808,31810
26428,26429
4451,4449
4452,4457
31809,31805
13738,13744
13743,13753
7447,7454
7450,7443
26953,26956
7376,7373
7380,7370
6975,6978
6989,6986
7149,7144
7166,7163
28237,28235
28270,28277
40002,40001
6990,6988
7133,7129
7377,7375
7150,7148
7167,7165
7170,7162
6976,6974
15812,15816
15813,15821
6224,6226
6977,6980
7134,7136
7139,7140
37220,37225
37221,37227
39070,39079
39787,39783
28008,28017
6225,6216
25770,25775
39071,39078
10203,10194
15757,15754
15404,15402
14219,14217
8233,8230
8240,8239
14790,14789
14193,14196
14830,14834
14809,14824
14849,14864
20267,20274
20276,20282
20278,20285
14148,14150
14149,14146
23490,23497
23501,23506
15405,15410
15414,15411
14240,14243
14251,14238
14127,14128
12873,12872
12876,12874
14194,14202
37681,37683
28561,28559
37435,37438
22746,22757
33116,33113
33529,33541
35905,35909
33543,33557
36106,36110
36112,36101
33202,33215
33261,33260
23161,23159
23166,23172
27117,27115
28960,28964
28361,28365
28382,28383
29301,29308
28407,28414
27903,27919
27915,27920
22687,22691
22700,22696
22701,22692
22342,22347
22328,22341
22705,22709
28916,28920
5852,5854
8092,8091
8104,8095
7863,7862
7886,7900
7836,7840
25944,25945
35553,35557
9199,9196
6138,6139
38036,38038
38040,38046
40254,40259
40257,40260
40278,40282
40280,40283
15196,15200
29590,29600
29596,29604
29609,29618
29614,29625
28862,28870
28869,28875
30112,30110
33530,33535
38068,38071
20538,20544
3862,3863
36942,36950
36108,36117
37722,37729
34978,34986
36092,36099
36069,36080
13923,13922
39279,39278
24294,24300
9681,9674
2783,2799
2788,2800
15450,15459
13633,13634
14851,14852
14151,14155
14158,14165
12003,12006
12020,12018
12022,12030
11623,11620
38988,38992
38995,38994
38975,38976
38981,38980
38812,38811
38821,38820
19918,19925
2018,2017
1168,1169
1080,1083
3097,3095
15891,15890
31621,31633
3098,3104
3103,3094
2941,2939
2942,2937
35507,35506
36664,36667
2889,2888
18187,18179
2784,2796
11704,11720
34944,34948
5321,5316
2109,2107
2097,2094
2100,2091
3032,3031
5478,5477
2188,2187
3003,3002
20269,20271
5215,5218
5220,5219
26793,26791
25304,25306
21659,21656
21661,21655
32461,32469
34907,34913
4968,4979
34403,34410
34416,34420
34447,34452
32957,32965
23493,23492
31861,31859
34635,34642
37059,37058
35977,35988
36093,36088
35314,35328
36070,36081
39101,39099
39102,39104
39868,39872
35799,35803
32717,32722
32943,32942
35595,35597
37486,37484
26794,26795
38342,38341
3864,3857
35963,35959
31675,31677
31683,31682
4217,4216
27927,27928
28917,28928
28923,28934
33546,33545
6577,6578
25946,25943
27493,27503
24499,24501
26892,26891
33205,33204
23165,23158
29326,29325
29327,29339
29304,29310
28563,28562
25305,25308
25831,25830
30539,30541
30540,30535
36010,36020
21846,21861
20356,20370
5604,5602
11672,11671
31759,31764
31453,31456
28961,28968
29628,29627
29637,29639
6310,6323
22329,22333
22334,22335
21662,21665
36353,36350
11673,11669
4942,4944
14873,14876
9964,9962
12005,12002
5533,5529
26254,26266
782,788
759,758
760,755
1442,1452
1364,1367
1495,1505
812,813
771,766
1365,1368
1366,1373
1497,1492
816,806
922,914
763,757
1457,1456
923,921
2351,2354
2360,2358
2488,2491
2496,2497
787,777
98,100
1601,1611
2472,2468
89,88
1602,1600
2309,2319
2323,2333
2489,2500
90,92
2253,2263
2255,2246
1969,1970
1979,1977
423,417
410,404
1095,1090
2256,2251
2528,2533
3004,3000
3426,3420
3188,3191
2725,2731
2191,2189
2761,2768
2490,2501
2473,2475
2615,2614
2057,2051
3429,3423
3197,3198
2912,2913
2876,2877
4969,4978
17643,17640
7478,7476
31760,31757
31749,31750
31753,31747
5761,5767
7479,7480
40516,40521
32139,32142
15532,15531
15537,15528
10768,10775
32391,32398
32155,32156
13766,13763
37501,37494
5077,5076
2200,2195
2007,2009
39166,39173
40517,40525
13740,13742
15533,15535
6121,6123
6126,6124
6129,6128
16816,16815
16819,16813
23601,23609
23608,23597
19012,19018
19460,19463
16304,16299
12563,12584
9937,9958
4435,4427
10448,10446
9237,9236
12055,12043
12081,12070
19461,19462
39463,39464
12487,12486
12493,12477
12457,12446
28240,28231
12921,12920
12927,12910
12953,12952
40006,40010
21424,21428
20998,21002
25994,25995
26003,26001
24545,24548
24554,24551
22450,22447
21032,21031
25488,25492
23708,23710
24074,24076
24081,24070
21005,21009
19546,19539
13961,13960
21578,21576
5623,5626
5625,5633
21530,21529
9031,9029
15534,15530
39713,39720
6312,6325
6330,6329
16305,16301
5216,5214
9202,9192
40518,40513
6579,6589
36819,36825
39319,39318
39449,39451
28865,28863
30114,30113
39012,39011
38815,38814
38990,38989
12432,12427
1218,1216
281,285
1605,1609
386,389
283,279
2272,2274
4158,4155
4164,4163
4167,4152
4749,4743
3902,3903
33847,33852
33091,33099
33407,33405
33410,33414
33411,33404
31380,31381
32768,32769
5169,5170
33139,33140
33571,33573
33549,33544
32372,32373
32314,32313
32337,32334
33209,33210
33220,33221
20884,20877
34065,34062
33582,33585
31107,31105
25986,25989
36665,36671
23452,23454
6158,6173
37804,37801
39741,39739
39742,39737
5606,5607
3200,3196
34484,34488
35631,35632
33448,33435
35618,35621
35652,35653
35456,35460
38440,38436
13290,13294
35448,35449
36111,36107
36113,36102
35910,35907
35919,35918
36178,36175
36072,36079
36075,36068
36850,36851
