locked_uid,control_uid
29401,29409
39966,39972
39536,39540
29402,29411
29403,29412
11686,11695
11687,11698
15507,15512
15517,15519
39487,39496
10869,10872
22246,22249
25101,25109
25102,25112
27279,27281
27280,27284
21773,21778
21789,21795
17934,17956
22306,22309
20831,20847
21751,21753
21761,21754
23868,23870
23884,23873
17935,17938
17946,17955
24349,24362
23885,23892
23890,23899
24331,24332
31347,31357
22247,22257
21251,21253
28143,28140
30388,30395
30396,30400
3854,3862
39313,39314
23514,23529
16831,16844
16834,16845
16848,16850
39875,39886
36630,36645
36612,36625
28159,28160
28179,28183
36149,36153
18540,18549
18545,18550
19040,19050
19054,19052
19022,19032
4736,4752
28228,28235
32751,32756
29966,29970
30389,30397
30344,30351
30270,30274
30637,30638
30652,30657
30255,30257
29983,29991
28247,28249
28253,28256
28795,28797
29245,29249
29537,29546
29770,29776
30017,30019
33038,33044
29835,29843
31348,31354
31352,31358
30401,30408
31323,31330
24474,24483
24480,24489
23998,24011
26153,26159
6229,6230
6032,6033
4333,4347
4334,4350
22765,22764
23954,23955
23969,23970
6216,6225
31349,31356
23082,23083
24703,24705
25175,25177
25192,25191
25624,25625
25639,25638
23531,23543
23120,23134
21678,21686
21265,21268
21276,21275
14337,14346
16962,16963
33473,33483
33488,33502
35213,35221
34460,34463
30190,30188
25779,25789
33524,33528
33437,33443
8709,8722
40146,40149
40151,40156
7204,7211
33490,33500
35442,35451
35635,35643
33475,33487
33491,33506
33511,33522
33526,33525
20928,20926
6380,6385
6218,6215
15425,15423
34647,34650
34660,34661
35073,35088
34918,34921
34933,34937
18168,18172
18174,18175
39877,39887
0,3
39490,39489
28230,28245
29755,29761
25657,25666
28295,28308
4339,4349
24019,24023
24024,24031
24035,24039
7370,7380
40217,40220
36614,36611
36621,36626
36632,36629
36641,36646
24020,24022
24036,24038
16876,16881
16855,16860
15804,15805
14979,14981
6520,6538
25541,25547
39539,39544
39638,39637
39275,39276
40245,40252
40249,40263
34012,34010
13668,13674
13669,13675
9411,9420
14753,14761
31377,31387
35443,35445
23487,23509
35647,35649
35853,35856
32532,32531
36320,36325
34411,34424
15753,15773
14806,14813
35216,35224
35232,35234
14827,14836
34798,34800
15426,15432
34976,34979
14730,14744
34919,34920
34927,34935
14190,14201
36064,36065
13628,13639
35776,35777
12016,12025
36043,36045
14788,14795
31278,31280
31279,31286
35677,35678
35903,35904
36898,36903
36901,36905
36937,36943
35648,35654
36000,36001
37387,37393
37391,37395
33809,33811
37162,37168
34799,34811
35629,35633
40218,40224
40225,40228
37678,37680
13629,13636
32742,32743
23941,23951
28231,28240
27303,27309
27769,27776
27785,27792
18118,18127
24067,24065
22447,22450
9194,9195
34574,34581
8711,8715
9384,9386
22784,22790
25781,25783
8692,8706
451,453
10225,10218
9675,9673
9684,9680
9685,9676
22785,22799
22766,22780
39573,39582
4513,4517
4849,4853
9477,9476
9480,9488
37966,37963
37967,37973
30192,30205
36744,36746
32171,32183
37968,37964
20930,20932
23972,23971
23985,23994
23957,23956
23533,23532
23517,23516
18997,19003
15806,15807
11689,11702
23889,23891
23895,23887
24372,24374
23908,23910
23914,23906
25614,25618
25660,25667
25599,25598
25587,25586
24392,24394
25178,25186
25161,25160
25626,25634
26089,26098
27752,27750
24685,24693
26071,26080
25647,25652
18095,18094
19058,19059
17579,17584
19042,19043
13756,13758
19086,19087
20865,20864
28743,28740
19024,19025
19033,19029
18569,18568
28232,28227
28233,28241
26106,26114
24334,24348
27736,27737
24393,24395
24406,24404
24373,24375
24385,24383
23909,23911
23920,23918
38504,38505
38511,38506
23872,23874
13757,13762
17546,17544
17547,17552
14295,14313
35282,35296
36615,36620
34577,34576
40246,40256
36633,36639
24686,24684
24689,24694
28267,28263
18044,18042
28250,28246
30193,30196
27770,27766
26090,26088
26092,26099
26093,26101
39969,39971
39541,39543
15754,15757
15427,15428
13858,13860
23548,23556
18985,18986
18993,18987
17548,17550
17566,17568
28674,28677
28683,28680
28744,28741
30705,30716
29805,29817
29203,29206
27305,27302
27314,27313
29822,29832
13790,13792
13791,13797
29788,29800
29541,29536
25163,25168
28799,28794
29496,29493
26962,26971
27787,27784
29481,29484
30002,30015
28661,28664
29218,29221
30020,30031
29987,29984
29233,29230
27805,27802
28234,28242
30315,30313
28251,28259
28268,28274
30330,30343
27771,27768
25180,25185
24708,24720
24687,24695
25628,25633
26073,26068
26091,26086
24429,24436
24412,24419
3439,3449
3419,3418
21256,21258
36745,36742
36757,36759
27576,27577
27581,27587
39880,39878
39740,39745
3725,3726
28048,28049
8694,8703
8695,8704
9597,9610
11466,11470
11474,11478
9197,9193
9414,9422
8729,8734
9478,9482
9484,9474
11621,11628
3012,3025
3041,3049
34651,34659
35779,35790
33334,33345
4515,4519
4518,4524
4521,4526
10227,10232
33130,33142
12406,12409
12407,12403
12421,12424
6221,6219
3381,3382
3390,3378
3094,3098
6716,6715
33542,33553
34557,34560
34567,34565
15808,15818
27536,27535
18046,18051
16967,16974
16952,16959
6717,6729
22788,22791
35284,35283
34590,34591
12046,12044
12913,12911
12974,12971
12944,12942
23534,23542
23518,23526
23085,23093
23124,23130
12540,12537
12510,12508
6222,6220
24464,24463
24469,24471
18557,18562
18566,18564
18584,18590
14381,14389
18108,18111
18121,18124
13827,13826
13809,13808
13814,13807
35414,35413
27379,27378
27358,27357
27820,27819
38676,38681
22448,22441
18296,18302
18309,18307
16025,16023
17758,17765
14657,14658
14662,14663
10607,10618
10611,10624
12347,12355
12351,12356
12332,12340
11889,11905
11519,11525
11502,11509
9134,9142
9138,9147
11483,11490
11467,11482
10975,10979
11960,11967
26108,26110
40290,40295
40338,40343
40271,40279
37084,37083
37348,37347
16271,16276
36816,36818
39836,39829
36687,36689
37744,37740
38508,38503
39921,39934
40148,40155
22374,22378
22383,22391
40272,40273
40291,40292
39277,39279
37495,37498
15848,15851
24709,24704
17012,17016
24430,24426
