locked_uid,control_uid
29401,29409
39966,39972
39536,39540
29402,29411
29403,29412
11686,11695
11687,11698
15507,15512
15517,15519
10869,10872
39487,39496
22246,22249
17934,17956
21773,21778
21789,21795
22306,22309
21751,21753
21761,21754
20831,20847
17935,17938
17946,17955
31347,31357
22247,22257
21251,21253
28143,28140
30388,30395
30396,30400
3854,3862
39313,39314
16831,16844
16834,16845
39875,39886
36149,36153
18540,18549
18545,18550
19040,19050
19054,19052
19022,19032
28228,28235
29245,29249
29251,29255
30702,30710
33038,33044
28795,28797
28247,28249
28253,28256
30270,30274
30277,30281
29835,29843
30327,30336
30389,30397
30344,30351
30312,30319
30017,30019
29966,29970
29972,29977
30637,30638
29770,29776
29778,29783
30255,30257
29983,29991
29537,29546
30652,30657
31323,31330
30401,30408
31348,31354
31352,31358
26153,26159
23998,24011
24474,24483
24480,24489
6229,6230
6032,6033
4333,4347
4334,4350
23515,23514
23969,23970
23976,23978
23954,23955
6216,6225
31349,31356
23082,23083
25175,25177
25192,25191
24703,24705
25624,25625
25639,25638
23531,23535
23120,23134
21265,21268
21276,21275
21678,21686
16962,16963
14337,14346
33473,33483
33488,33502
35213,35221
34460,34463
30190,30188
25779,25787
33524,33528
33437,33443
33111,33125
8709,8722
7204,7211
40146,40149
40151,40156
35442,35451
35635,35643
33475,33487
33491,33506
33511,33522
33526,33525
6380,6385
6218,6215
15425,15423
34918,34921
34933,34937
18168,18172
18174,18175
39877,39887
28230,28245
39490,39489
28295,28308
25657,25666
4339,4349
24019,24023
24024,24031
24035,24039
7370,7380
24020,24022
24036,24038
16855,16860
16876,16881
15804,15805
14979,14981
6520,6538
25541,25547
39539,39544
39638,39637
39275,39276
40245,40252
40249,40263
34012,34010
13668,13674
13669,13675
14753,14761
31377,31387
35647,35649
35443,35445
23487,23509
35853,35856
32532,32531
36320,36325
14827,14836
14806,14813
15426,15432
35232,35234
35216,35224
34976,34979
34798,34800
15753,15773
34411,34424
14145,14159
35776,35777
12016,12025
14754,14764
14788,14795
12870,12882
14126,14137
13628,13639
36043,36045
34648,34652
14167,14180
14190,14201
11619,11627
36064,36065
14730,14744
34919,34920
31278,31279
35903,35904
35677,35678
33809,33811
35648,35654
34799,34811
40218,40224
36000,36001
37162,37168
36898,36903
36901,36905
37387,37393
37391,37395
35629,35633
36937,36943
37678,37680
13629,13636
32487,32489
32753,32754
32742,32743
28231,28240
27785,27792
23941,23951
27303,27309
27769,27776
18118,18127
9412,9417
9698,9703
22447,22450
8711,8715
9194,9195
34574,34581
9384,9386
8692,8706
10225,10218
9675,9673
9684,9680
9685,9676
39573,39582
36743,36752
4513,4517
4849,4853
9477,9476
9480,9488
37966,37963
37967,37973
30192,30205
36744,36746
32171,32183
20929,20928
37968,37964
20930,20932
23957,23956
23985,23994
11689,11702
23972,23971
15806,15807
23517,23516
23533,23532
18997,19003
25626,25634
26089,26098
25161,25160
25599,25598
23889,23891
25660,25667
25647,25652
25178,25186
23908,23910
25587,25586
24372,24374
27752,27750
24685,24693
26071,26080
25614,25618
28743,28740
17579,17584
26106,26114
13756,13758
19042,19043
19024,19025
19033,19029
19086,19087
18095,18094
18569,18568
28232,28227
28233,28241
19058,19059
20865,20864
24373,24375
23890,23892
23909,23911
38504,38505
38511,38506
13757,13762
17546,17544
17547,17552
14295,14313
34577,34576
40246,40256
26090,26088
26092,26099
26093,26101
30193,30196
27770,27766
18044,18042
24686,24684
24689,24694
28267,28263
28250,28246
39541,39543
39969,39971
15754,15757
14773,14784
15427,15428
18985,18986
18993,18987
13858,13860
17566,17568
17548,17550
29987,29984
27771,27768
30002,30015
30020,30031
30330,30343
30315,30313
13790,13792
13791,13797
27787,27784
28268,28274
27305,27302
27314,27313
28744,28741
28799,28794
28251,28259
28234,28242
30705,30716
29541,29536
29788,29800
29805,29817
25163,25168
29822,29832
27805,27802
26091,26086
24687,24695
24429,24436
26073,26068
25628,25633
24412,24419
25180,25185
24708,24720
3439,3449
3419,3418
21256,21258
4514,4522
4527,4529
39880,39878
39740,39745
3725,3726
28048,28049
8694,8703
8695,8704
9597,9610
11466,11470
11474,11478
9197,9193
9414,9422
11621,11628
8729,8734
9478,9482
9484,9474
3012,3025
3041,3049
34651,34659
35779,35790
4515,4518
10227,10232
12406,12409
12407,12403
12421,12424
6221,6219
3381,3382
3390,3378
3094,3098
33542,33553
34557,34560
34567,34565
27536,27535
15808,15818
18046,18051
16952,16959
16967,16974
34590,34591
12913,12911
12046,12044
23085,23093
6222,6220
12974,12971
23518,23526
12944,12942
12540,12537
23124,23130
23534,23542
12510,12508
24464,24463
24469,24471
18584,18590
18121,18124
18108,18111
18557,18562
18566,18564
14381,14389
13827,13826
13809,13808
13814,13807
35414,35413
27358,27357
27379,27378
27820,27819
38676,38681
18296,18302
18309,18307
16025,16023
22448,22441
17758,17765
14657,14658
14662,14663
10975,10979
10607,10618
10611,10624
11960,11967
11502,11509
12332,12340
11519,11525
12347,12355
12351,12356
11889,11905
11467,11482
11483,11490
9134,9142
9138,9147
26108,26110
40338,40343
40271,40279
40290,40295
37084,37083
16271,16276
36816,36818
39836,39829
36687,36689
37348,37347
38508,38503
39921,39934
37744,37740
40148,40155
22383,22391
22374,22378
40272,40273
40291,40292
39277,39279
37495,37498
15848,15851
14993,14997
18109,18116
23125,23131
23127,23133
18122,18128
25181,25176
25189,25194
24688,24697
24709,24704
24430,24426
16969,16975
17012,17016
18558,18565
11693,11688
11696,11703
21815,21816
21286,21290
21287,21292
35285,35278
22449,22446
13829,13833
13830,13835
19168,19175
34558,34555
22375,22379
10338,10339
35286,35282
14925,14929
14301,14306
14939,14946
13811,13817
28050,28051
32032,32037
23973,23983
23958,23968
23126,23122
22657,22653
26963,26960
26970,26972
26973,26974
39923,39935
13795,13799
16354,16361
16355,16362
13380,13387
12135,12141
9598,9609
13861,13868
9209,9217
39803,39808
20849,20858
15755,15762
