mechanism,rank,bundle,event_year,worldpop_year,event_nights,population_for_year,person_nights
Coherent,1,C1 North America-Europe,2001,2020,1,1740579.095531905,1740579.095531905
Coherent,1,C1 North America-Europe,2006,2020,10,1740579.095531905,17405790.95531905
Coherent,1,C1 North America-Europe,2010,2020,8,1740579.095531905,13924632.76425524
Coherent,1,C1 North America-Europe,2011,2020,1,1740579.095531905,1740579.095531905
Coherent,1,C1 North America-Europe,2012,2020,2,1740579.095531905,3481158.19106381
Coherent,1,C1 North America-Europe,2015,2020,6,1740579.095531905,10443474.57319143
Coherent,1,C1 North America-Europe,2016,2020,2,1740579.095531905,3481158.19106381
Coherent,1,C1 North America-Europe,2017,2020,7,1740579.095531905,12184053.668723335
Coherent,1,C1 North America-Europe,2018,2020,14,1740579.095531905,24368107.33744667
Coherent,1,C1 North America-Europe,2019,2020,5,1740579.095531905,8702895.477659525
Coherent,1,C1 North America-Europe,2020,2020,8,1740579.095531905,13924632.76425524
Coherent,1,C1 North America-Europe,2021,2020,5,1740579.095531905,8702895.477659525
Coherent,1,C1 North America-Europe,2022,2020,11,1740579.095531905,19146370.050850958
Coherent,1,C1 North America-Europe,2023,2020,29,1740579.095531905,50476793.770425245
Coherent,1,C1 North America-Europe,2024,2020,5,1740579.095531905,8702895.477659525
Coherent,2,C2 North America-East Asia,2005,2020,1,2610754.643389069,2610754.643389069
Coherent,2,C2 North America-East Asia,2009,2020,4,2610754.643389069,10443018.573556276
Coherent,2,C2 North America-East Asia,2010,2020,2,2610754.643389069,5221509.286778138
Coherent,2,C2 North America-East Asia,2011,2020,3,2610754.643389069,7832263.9301672075
Coherent,2,C2 North America-East Asia,2015,2020,3,2610754.643389069,7832263.9301672075
Coherent,2,C2 North America-East Asia,2016,2020,4,2610754.643389069,10443018.573556276
Coherent,2,C2 North America-East Asia,2018,2020,13,2610754.643389069,33939810.3640579
Coherent,2,C2 North America-East Asia,2019,2020,8,2610754.643389069,20886037.147112552
Coherent,2,C2 North America-East Asia,2020,2020,10,2610754.643389069,26107546.43389069
Coherent,2,C2 North America-East Asia,2021,2020,2,2610754.643389069,5221509.286778138
Coherent,2,C2 North America-East Asia,2022,2020,18,2610754.643389069,46993583.58100324
Coherent,2,C2 North America-East Asia,2023,2020,33,2610754.643389069,86154903.23183928
Coherent,3,C3 Europe-East Asia,2005,2020,1,3333122.017277412,3333122.017277412
