mechanism,year,bundle_days
Coherent,2000,0
Coherent,2001,1
Coherent,2002,0
Coherent,2003,0
Coherent,2004,0
Coherent,2005,2
Coherent,2006,10
Coherent,2007,0
Coherent,2008,0
Coherent,2009,4
Coherent,2010,10
Coherent,2011,4
Coherent,2012,2
Coherent,2013,1
Coherent,2014,0
Coherent,2015,10
Coherent,2016,9
Coherent,2017,11
Coherent,2018,39
Coherent,2019,21
Coherent,2020,19
Coherent,2021,12
Coherent,2022,47
Coherent,2023,74
Coherent,2024,5
Dipole,2000,0
Dipole,2001,0
Dipole,2002,2
Dipole,2003,0
Dipole,2004,0
Dipole,2005,0
Dipole,2006,0
Dipole,2007,0
Dipole,2008,0
Dipole,2009,2
Dipole,2010,9
Dipole,2011,1
Dipole,2012,2
Dipole,2013,13
Dipole,2014,1
Dipole,2015,9
Dipole,2016,2
Dipole,2017,4
Dipole,2018,2
Dipole,2019,17
Dipole,2020,7
Dipole,2021,14
Dipole,2022,11
Dipole,2023,10
Dipole,2024,0
